,counts_d3_c95_K100_status,counts_d3_c95_K100_correlation,counts_d3_c95_reg_K100_status,counts_d3_c95_reg_K100_correlation,counts_d3_c95_tx_K100_status,counts_d3_c95_tx_K100_correlation,counts_d3_c95_KNone_status,counts_d3_c95_KNone_correlation,counts_d3_c95_reg_KNone_status,counts_d3_c95_reg_KNone_correlation,counts_d3_c95_tx_KNone_status,counts_d3_c95_tx_KNone_correlation,counts_d3_c50_K100_status,counts_d3_c50_K100_correlation,counts_d3_c50_reg_K100_status,counts_d3_c50_reg_K100_correlation,counts_d3_c50_tx_K100_status,counts_d3_c50_tx_K100_correlation,counts_d3_c50_KNone_status,counts_d3_c50_KNone_correlation,counts_d3_c50_reg_KNone_status,counts_d3_c50_reg_KNone_correlation,counts_d3_c50_tx_KNone_status,counts_d3_c50_tx_KNone_correlation
ABCA5,INFEASIBLE,,OPTIMAL,-0.11452138237041005,OPTIMAL,-0.09654301264757556,OPTIMAL,-0.10145274181632093,OPTIMAL,-0.054393758953702846,OPTIMAL,-0.09660142715014956,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.04677985325301116,OPTIMAL,-0.04775637958868847,OPTIMAL,-0.044487414237776704,OPTIMAL,-0.046408228038889984
ABCA6,INFEASIBLE,,OPTIMAL,-0.06689676954299024,OPTIMAL,-0.064909459046652,OPTIMAL,-0.6215603364589255,OPTIMAL,-0.0506581008743317,OPTIMAL,-0.06491281817521823,INFEASIBLE,,OPTIMAL,-0.053791333252865475,OPTIMAL,-0.05393267809197186,OPTIMAL,-0.05742059413121775,OPTIMAL,-0.05419161783628586,OPTIMAL,-0.053974003915508974
ABCB10,INFEASIBLE,,OPTIMAL,-0.2630295211543464,OPTIMAL,-0.1933425584919475,OPTIMAL,-0.24625340120244477,OPTIMAL,-0.14656651390158493,OPTIMAL,-0.19334611543888244,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07877810536906801,OPTIMAL,-0.07871291911239364,OPTIMAL,-0.07871120601574524,OPTIMAL,-0.07864347556954203
ABCB7,INFEASIBLE,,OPTIMAL,-0.17274358166364906,OPTIMAL,-0.15209695254013417,OPTIMAL,-0.11845100608408297,OPTIMAL,-0.11021144565280024,OPTIMAL,-0.15216374133478244,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCB8,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-3.294276575828392e-07,OPTIMAL,-0.11861581719684863,OPTIMAL,-0.08195191997475579,OPTIMAL,-0.08754808918450417,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC1,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12194421276286996,OPTIMAL,-0.08619791282929203,OPTIMAL,-0.09963403276823488,OPTIMAL,-0.12184583009035115,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC10,INFEASIBLE,,OPTIMAL,-0.07186221723528226,OPTIMAL,-0.10115575190356679,OPTIMAL,-0.1212899670292056,OPTIMAL,-0.06803031027162146,OPTIMAL,-0.10116304667781416,INFEASIBLE,,OPTIMAL,-0.08475002489024192,OPTIMAL,-0.08776815459310489,OPTIMAL,-0.08610911227289453,OPTIMAL,-0.08333108240218141,OPTIMAL,-0.08810003662544393
ABCC3,OPTIMAL,-0.28069906886903895,OPTIMAL,-0.06408452597576239,OPTIMAL,-0.0412633966474438,OPTIMAL,-0.0602093950223585,OPTIMAL,-0.08198387625066607,OPTIMAL,-0.0011714529223531471,INFEASIBLE,,OPTIMAL,-0.03456296920776462,OPTIMAL,-0.0354425561661049,OPTIMAL,-0.03251810201387042,OPTIMAL,-0.0235443319579241,OPTIMAL,-0.03511325034940028
ABCC4,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10642267146992711,OPTIMAL,-0.26332679649549395,OPTIMAL,-0.1654583581637104,OPTIMAL,-1.5261399616451807e-06,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC5,INFEASIBLE,,OPTIMAL,-0.263370901078166,OPTIMAL,-0.12965649133227142,OPTIMAL,-0.10572127466404116,OPTIMAL,-0.029950484480535826,OPTIMAL,-0.12970330954875392,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
