,Target,Score,Interaction,Expression
AC002310.10,False,,False,0.1223021582733813
AC002310.12,False,,False,0.06474820143884892
AC002310.14,False,,False,0.2697841726618705
AC002310.17,False,,False,0.15827338129496402
AC002314.4,False,,False,0.017985611510791366
AC002398.11,False,,False,0.046762589928057555
AC002429.5,False,,False,0.01079136690647482
AC002454.1,False,,False,0.06115107913669065
AC002456.2,False,,False,0.6546762589928058
AC002467.7,False,,False,0.6798561151079137
AC002480.2,False,,False,0.007194244604316547
AC002480.3,False,,False,0.03237410071942446
AC002486.2,False,,False,0.0035971223021582736
AC002519.6,False,,True,0.18705035971223022
AC002543.2,False,,False,0.07913669064748201
AC002550.6,False,,False,0.19784172661870503
AC003006.1,False,,False,0.06115107913669065
AC003075.4,False,,False,0.007194244604316547
AC003092.1,False,,False,0.762589928057554
AC003104.1,False,,False,0.0035971223021582736
AC003682.17,False,,False,0.01079136690647482
AC003973.3,False,,False,0.19424460431654678
AC003984.1,False,,False,0.007194244604316547
AC003986.6,False,,True,0.2014388489208633
AC003986.7,False,,True,0.17625899280575538
AC003988.1,False,,False,0.0035971223021582736
AC003991.3,False,,False,0.02877697841726619
AC004000.1,False,,False,0.11510791366906475
AC004009.2,False,,True,0.03237410071942446
AC004009.3,False,,False,0.007194244604316547
AC004019.13,False,,False,0.0539568345323741
AC004053.1,False,,False,0.014388489208633094
AC004054.1,False,,False,0.0035971223021582736
AC004057.1,False,,False,221.92805755395685
AC004066.2,False,,True,0.025179856115107913
AC004067.5,False,,False,0.1474820143884892
AC004069.1,False,,False,0.0035971223021582736
AC004069.2,False,,False,4.568345323741007
AC004070.1,False,,False,0.0035971223021582736
AC004074.4,False,,False,0.046762589928057555
AC004076.5,False,,False,5.446043165467626
AC004076.9,False,,False,0.0035971223021582736
AC004112.7,False,,False,0.02158273381294964
AC004129.9,False,,False,0.007194244604316547
AC004156.3,False,,False,0.9136690647482014
AC004158.1,False,,False,0.014388489208633094
AC004158.3,False,,False,0.11151079136690648
AC004160.4,False,,False,0.0035971223021582736
AC004231.2,False,,False,0.0035971223021582736
AC004381.6,False,,False,3.237410071942446
AC004383.3,False,,False,0.0035971223021582736
AC004386.4,False,,False,0.35251798561151076
AC004448.5,False,,False,0.0035971223021582736
AC004453.8,False,,False,54.43884892086331
AC004461.4,False,,False,0.01079136690647482
AC004470.1,False,,False,0.007194244604316547
AC004490.1,False,,False,0.18345323741007194
AC004538.3,False,,True,0.014388489208633094
AC004540.5,False,,False,0.01079136690647482
AC004543.2,False,,False,0.0035971223021582736
AC004556.1,False,,False,13.974820143884893
AC004603.4,False,,False,0.01079136690647482
AC004692.5,False,,False,0.02158273381294964
AC004769.1,False,,False,0.0035971223021582736
AC004837.5,False,,False,0.014388489208633094
AC004846.1,False,,False,0.0035971223021582736
AC004854.4,False,,False,0.33093525179856115
AC004870.3,False,,False,0.0035971223021582736
AC004893.10,False,,False,0.0035971223021582736
AC004893.11,False,,True,0.2158273381294964
AC004895.4,False,,False,0.08273381294964029
AC004901.1,False,,False,0.01079136690647482
AC004911.2,False,,False,0.007194244604316547
AC004920.3,False,,False,0.03237410071942446
AC004941.3,False,,False,0.02158273381294964
AC004941.5,False,,False,0.41007194244604317
AC004947.2,False,,False,0.014388489208633094
AC004951.6,False,,False,0.050359712230215826
AC004953.1,False,,False,0.007194244604316547
AC004967.7,False,,False,2.2194244604316546
AC004980.10,False,,False,0.10071942446043165
