,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
AKAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP17A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.114799091783148,INFEASIBLE,
AKAP8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP8L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07824536867560397,INFEASIBLE,
AKAP9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKIRIN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKIRIN2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKNA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12658071366296206,INFEASIBLE,
AKR1A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1C1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1C2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1C3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1E2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07588999400965796,OPTIMAL,-0.09131800969438914
AKR7A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKT1S1,OPTIMAL,1.183429639866794e-09,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1553411555329321,INFEASIBLE,
AKT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKT3,OPTIMAL,-0.2410667847810014,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKTIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14925243194552856,INFEASIBLE,
ALAD,OPTIMAL,-0.2546215651699945,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12887345753513255,INFEASIBLE,
ALAS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19035362863568936,INFEASIBLE,
ALCAM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH16A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH18A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH1L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14189273482075496,INFEASIBLE,
ALDH3A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH3B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1429704748381343,INFEASIBLE,
ALDH6A1,OPTIMAL,-0.2383056757275465,OPTIMAL,-0.5205593759576381,INFEASIBLE,,OPTIMAL,-0.07312390488630523,OPTIMAL,-0.038266266208869325
ALDH7A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH9A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDOA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12948958709483605,OPTIMAL,-0.11350675369148344
ALG11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09689626136360134,INFEASIBLE,
ALG13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.3119038720107637,INFEASIBLE,
ALG14,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.3249460430721551,INFEASIBLE,
ALG9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06496943344028124,OPTIMAL,-0.08047345304932617
ALKBH1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1510380721609378,INFEASIBLE,
ALKBH2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18345296513195833,INFEASIBLE,
ALKBH3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.21741916981795037,INFEASIBLE,
ALKBH5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2003761256499288,INFEASIBLE,
ALKBH8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1303018842561328,INFEASIBLE,
ALMS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15510989536873213,INFEASIBLE,
ALPK1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09220907125766292,INFEASIBLE,
ALPK2,OPTIMAL,-0.207147788625967,OPTIMAL,-0.4318031906897724,INFEASIBLE,,OPTIMAL,-0.07043119064824226,INFEASIBLE,
ALS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALYREF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMBRA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12666036071918607,INFEASIBLE,
AMD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMDHD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.114188069640484,INFEASIBLE,
AMFR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMMECR1,OPTIMAL,8.799992847408673e-08,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMMECR1L,OPTIMAL,-0.2677299051507386,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMOT,OPTIMAL,-0.047131679644021,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0846018933183726,OPTIMAL,-0.05490730026535751
AMOTL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMOTL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMPD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMPD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09241199177875994,INFEASIBLE,
AMZ2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1499725029915299,INFEASIBLE,
ANAPC11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC15,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC16,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC2,OPTIMAL,-0.1538040182462759,OPTIMAL,-0.2463396804201069,INFEASIBLE,,OPTIMAL,-0.05526752333155122,OPTIMAL,-0.0360431706091747
ANAPC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANGEL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11309953754852313,OPTIMAL,-0.09185079193997271
ANGEL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2957296365006492,INFEASIBLE,
ANGPTL4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1714972881085601,INFEASIBLE,
ANK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13097760494965777,INFEASIBLE,
ANKEF1,OPTIMAL,-0.101287824361706,OPTIMAL,-0.4956686943531832,INFEASIBLE,,OPTIMAL,-0.0614432820439964,OPTIMAL,-0.03228747733858531
ANKFY1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKHD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.056270805058399403,OPTIMAL,-0.06891213410631637
ANKIB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKLE2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKMY2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16894646204962485,INFEASIBLE,
ANKRD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11690429904136615,INFEASIBLE,
ANKRD10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD13A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD13C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD13D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD16,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.077826153095743,INFEASIBLE,
ANKRD17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08241709296336458,INFEASIBLE,
ANKRD26,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD27,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.3165763207896032,INFEASIBLE,
ANKRD28,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD34A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09246861259474795,OPTIMAL,-0.08796903380059702
ANKRD35,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1781946855691952,INFEASIBLE,
ANKRD36,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD36B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD36C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD37,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10624269921788945,INFEASIBLE,
ANKRD39,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1956182631022725,INFEASIBLE,
ANKRD40,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD42,OPTIMAL,-0.1361280134566873,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09555796936480036,INFEASIBLE,
ANKRD46,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.055293747316251016,INFEASIBLE,
ANKRD49,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1883462714337088,INFEASIBLE,
ANKRD50,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD52,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD54,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13702844070273035,OPTIMAL,-0.10954733318883879
ANKS1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12075431372594375,OPTIMAL,-0.11440369723458076
ANKS3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKS6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKZF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11440208950647415,INFEASIBLE,
ANLN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANO10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17068194163923645,OPTIMAL,-0.13626354681252506
ANO3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06652865350773757,OPTIMAL,-0.05032740882588833
ANO6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANP32A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANP32B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANP32E,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANPEP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANTXR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANTXR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA2R,OPTIMAL,-0.1019592610798705,OPTIMAL,-0.706412665660893,INFEASIBLE,,OPTIMAL,-0.04075832595300331,INFEASIBLE,
ANXA3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.06296422618043314,INFEASIBLE,
ANXA4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AOX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1AR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1943053343519575,INFEASIBLE,
AP1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1G1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.325246666977992,INFEASIBLE,
AP1S2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP2S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3D1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3M2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP3S2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07611852581420583,OPTIMAL,-0.08719225476898636
AP4B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP4E1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP4M1,OPTIMAL,-0.2761096230496221,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08156173143042181,INFEASIBLE,
AP5B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07281406280043538,INFEASIBLE,
AP5M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP5S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP5Z1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1033258298792761,INFEASIBLE,
APAF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12212754829700355,OPTIMAL,-0.098209675869961
APBA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07363370568347184,OPTIMAL,-0.08935986028662529
APBA3,OPTIMAL,-0.1428738151499066,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07741339515771896,INFEASIBLE,
APBB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16273607543617674,INFEASIBLE,
APBB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APCDD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APEH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APEX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APEX2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19618351227229244,INFEASIBLE,
APH1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.28960454698178995,INFEASIBLE,
APH1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14427219614727516,INFEASIBLE,
API5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1535595295548856,INFEASIBLE,
APLP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APMAP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18041568781295958,INFEASIBLE,
APOBEC3B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOBEC3C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.19796734853527806,INFEASIBLE,
APOBEC3D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08969556435577859,OPTIMAL,-0.08840252981590621
APOBEC3G,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.07247170443866842,OPTIMAL,-0.07468103996718659
APOD,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOL6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APOLD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.17676042684234577,OPTIMAL,-0.15891576184475822
APOO,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1284690004863632,INFEASIBLE,
APOOL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.15196811481739822,INFEASIBLE,
APP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPBP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.3266467142672006,INFEASIBLE,
APPL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APPL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APRT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
APTX,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AQP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AQR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AR,OPTIMAL,-0.991187053896248,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12409848302052892,INFEASIBLE,
ARAF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0746529815119229,OPTIMAL,-0.08145335254598479
ARAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.08398495278323331,OPTIMAL,-0.09053500218590524
ARCN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AREL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.2464654235135487,INFEASIBLE,
ARF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARF6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1524815640760606,INFEASIBLE,
ARFGAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGEF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFGEF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFIP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARFRP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.18271391553748725,INFEASIBLE,
ARGLU1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ARHGAP11A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
