ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000051726	Kcnf1	protein_coding
ENSMUSG00000071019	Sdr16c6	protein_coding
ENSMUSG00000032773	Chrm1	protein_coding
ENSMUSG00000066803	Vmn1r84	protein_coding
ENSMUSG00000037735	2810032G03Rik	lincRNA
ENSMUSG00000103892	Gm31572	unprocessed_pseudogene
ENSMUSG00000087007	Gm2231	processed_pseudogene
ENSMUSG00000051258	Olfr1362	protein_coding
ENSMUSG00000069258	Prl2b1	protein_coding
ENSMUSG00000086882	Gm13352	processed_pseudogene
ENSMUSG00000101294	Gm2913	protein_coding
ENSMUSG00000102070	Gm28661	unprocessed_pseudogene
ENSMUSG00000031626	Sorbs2	protein_coding
ENSMUSG00000073234	Gm8773	lincRNA
ENSMUSG00000101249	Gm29216	unprocessed_pseudogene
ENSMUSG00000101177	Gm29586	transcribed_unprocessed_pseudogene
ENSMUSG00000048398	Gm5065	protein_coding
ENSMUSG00000097642	Gm26866	processed_pseudogene
ENSMUSG00000081531	Vmn1r-ps113	unprocessed_pseudogene
ENSMUSG00000087125	A230108P19Rik	antisense
ENSMUSG00000031925	Maml2	protein_coding
ENSMUSG00000035177	Nlrp2	protein_coding
ENSMUSG00000093449	Vmn1r-ps149	unprocessed_pseudogene
ENSMUSG00000090840	1700092M07Rik	protein_coding
ENSMUSG00000039063	Echdc3	protein_coding
ENSMUSG00000099506	Gm28732	lincRNA
ENSMUSG00000087485	Gm13383	lincRNA
ENSMUSG00000099920	Gm29223	unprocessed_pseudogene
ENSMUSG00000102968	Gm35070	lincRNA
ENSMUSG00000092490	Gm20482	transcribed_unprocessed_pseudogene
ENSMUSG00000106158	RP23-234P16.4	TEC
ENSMUSG00000054142	Vmn1r236	protein_coding
ENSMUSG00000028771	Ptpn12	protein_coding
ENSMUSG00000100693	Gm28278	lincRNA
ENSMUSG00000099424	Gm28641	lincRNA
ENSMUSG00000081059	Gm11945	processed_pseudogene
ENSMUSG00000034587	8430429K09Rik	processed_transcript
ENSMUSG00000083252	Gm13210	processed_pseudogene
ENSMUSG00000099638	Gm28279	lincRNA
ENSMUSG00000026669	Mcm10	protein_coding
ENSMUSG00000072676	Tmem254a	protein_coding
ENSMUSG00000022505	Emp2	protein_coding
ENSMUSG00000022769	Sdf2l1	protein_coding
ENSMUSG00000049281	Scn3b	protein_coding
ENSMUSG00000101719	Gm28216	lincRNA
ENSMUSG00000038240	Pdss2	protein_coding
ENSMUSG00000099411	2310015D24Rik	lincRNA
ENSMUSG00000058030	Vmn1r237	protein_coding
ENSMUSG00000100896	Gm28217	lincRNA
ENSMUSG00000099182	Gm8676	processed_pseudogene
