"","ensembl_gene_id","external_gene_name","gene_biotype"
"NA.5833",NA,NA,NA
"NA.5834",NA,NA,NA
"NA.5835",NA,NA,NA
"NA.5836",NA,NA,NA
"NA.5837",NA,NA,NA
"NA.5838",NA,NA,NA
"33349","ENSG00000232416","BPESC1","lncRNA"
"82360","ENSG00000172331","BPGM","protein_coding"
"64784","ENSG00000137274","BPHL","protein_coding"
"57834","ENSG00000101425","BPI","protein_coding"
"66986","ENSG00000198183","BPIFA1","protein_coding"
"8365","ENSG00000131050","BPIFA2","protein_coding"
"8379","ENSG00000131059","BPIFA3","protein_coding"
"8965","ENSG00000183566","BPIFA4P","transcribed_unprocessed_pseudogene"
"72156","ENSG00000125999","BPIFB1","protein_coding"
"20734","ENSG00000078898","BPIFB2","protein_coding"
"8411","ENSG00000186190","BPIFB3","protein_coding"
"8346","ENSG00000186191","BPIFB4","protein_coding"
"8408","ENSG00000233146","BPIFB5P","unitary_pseudogene"
"18862","ENSG00000167104","BPIFB6","protein_coding"
"9598","ENSG00000125997","BPIFB9P","transcribed_unitary_pseudogene"
"9525","ENSG00000184459","BPIFC","protein_coding"
"80983","ENSG00000162813","BPNT1","protein_coding"
"72797","ENSG00000171634","BPTF","protein_coding"
"590","ENSG00000183753","BPY2","protein_coding"
"867","ENSG00000183795","BPY2B","protein_coding"
"735","ENSG00000185894","BPY2C","protein_coding"
"600","ENSG00000229745","BPY2DP","unprocessed_pseudogene"
"80565","ENSG00000157764","BRAF","protein_coding"
"9075","ENSG00000224775","BRAFP1","unprocessed_pseudogene"
"74513","ENSG00000089234","BRAP","protein_coding"
"85331","ENSG00000106009","BRAT1","protein_coding"
"82295","ENSG00000012048","BRCA1","protein_coding"
"4406","ENSG00000139618","BRCA2","protein_coding"
"13654","ENSG00000185515","BRCC3","protein_coding"
"26911","ENSG00000251667","BRCC3P1","processed_pseudogene"
"37851","ENSG00000100425","BRD1","protein_coding"
"36876","ENSG00000235307","BRD2","protein_coding"
"NA.5839",NA,NA,NA
"60252","ENSG00000169925","BRD3","protein_coding"
"25134","ENSG00000141867","BRD4","protein_coding"
"67903","ENSG00000166164","BRD7","protein_coding"
"1266","ENSG00000284831","BRD7P1","processed_pseudogene"
"46389","ENSG00000184100","BRD7P2","processed_pseudogene"
"40751","ENSG00000218676","BRD7P4","processed_pseudogene"
"4315","ENSG00000235768","BRD7P5","processed_pseudogene"
"42595","ENSG00000235289","BRD7P6","processed_pseudogene"
"21390","ENSG00000112983","BRD8","protein_coding"
"74396","ENSG00000028310","BRD9","protein_coding"
"28496","ENSG00000254736","BRD9P1","processed_pseudogene"
"19874","ENSG00000249908","BRD9P2","transcribed_unprocessed_pseudogene"
"52849","ENSG00000137948","BRDT","protein_coding"
"9122","ENSG00000271209","BRDTP1","processed_pseudogene"
"NA.5840",NA,NA,NA
"79606","ENSG00000185024","BRF1","protein_coding"
"27106","ENSG00000104221","BRF2","protein_coding"
"58333","ENSG00000164713","BRI3","protein_coding"
"33568","ENSG00000184992","BRI3BP","protein_coding"
"13839","ENSG00000279112","BRI3BPP1","transcribed_processed_pseudogene"
"52828","ENSG00000225169","BRI3P1","processed_pseudogene"
"66931","ENSG00000182685","BRICD5","protein_coding"
"79949","ENSG00000078725","BRINP1","protein_coding"
"84006","ENSG00000198797","BRINP2","protein_coding"
"85739","ENSG00000162670","BRINP3","protein_coding"
"80492","ENSG00000136492","BRIP1","protein_coding"
"83250","ENSG00000113460","BRIX1","protein_coding"
"12539","ENSG00000254025","BRIX1P1","processed_pseudogene"
"68672","ENSG00000254999","BRK1","protein_coding"
"4265","ENSG00000227983","BRK1P2","processed_pseudogene"
"84221","ENSG00000174744","BRMS1","protein_coding"
"47288","ENSG00000100916","BRMS1L","protein_coding"
"86060","ENSG00000162819","BROX","protein_coding"
"85524","ENSG00000156983","BRPF1","protein_coding"
"83594","ENSG00000096070","BRPF3","protein_coding"
"9504","ENSG00000102239","BRS3","protein_coding"
"18627","ENSG00000160469","BRSK1","protein_coding"
"317","ENSG00000291428","BRSK2","protein_coding"
"12266","ENSG00000185658","BRWD1","protein_coding"
"6094","ENSG00000238141","BRWD1-AS1","lncRNA"
"NA.5841",NA,NA,NA
"2084","ENSG00000237373","BRWD1-IT1","lncRNA"
"53584","ENSG00000215909","BRWD1P1","processed_pseudogene"
"55348","ENSG00000258290","BRWD1P2","transcribed_processed_pseudogene"
"66928","ENSG00000232841","BRWD1P3","processed_pseudogene"
"8968","ENSG00000165288","BRWD3","protein_coding"
"82224","ENSG00000168000","BSCL2","protein_coding"
"84322","ENSG00000160058","BSDC1","protein_coding"
"80984","ENSG00000172270","BSG","protein_coding"
"33270","ENSG00000164061","BSN","protein_coding"
"62467","ENSG00000235120","BSN-AS1","lncRNA"
"NA.5842",NA,NA,NA
"67909","ENSG00000162399","BSND","protein_coding"
"8980","ENSG00000275048","BSNDP1","processed_pseudogene"
"8981","ENSG00000274973","BSNDP2","processed_pseudogene"
"9755","ENSG00000277508","BSNDP3","processed_pseudogene"
"57562","ENSG00000229627","BSNDP4","processed_pseudogene"
"18078","ENSG00000188334","BSPH1","protein_coding"
"77907","ENSG00000119411","BSPRY","protein_coding"
"76529","ENSG00000109743","BST1","protein_coding"
"53026","ENSG00000130303","BST2","protein_coding"
"47924","ENSG00000188909","BSX","protein_coding"
"62779","ENSG00000095564","BTAF1","protein_coding"
"72911","ENSG00000064726","BTBD1","protein_coding"
"79961","ENSG00000148925","BTBD10","protein_coding"
"23628","ENSG00000257675","BTBD10P1","processed_pseudogene"
"27114","ENSG00000219433","BTBD10P2","processed_pseudogene"
"NA.5843",NA,NA,NA
"15953","ENSG00000138152","BTBD16","protein_coding"
"64511","ENSG00000204347","BTBD17","protein_coding"
"75229","ENSG00000233436","BTBD18","protein_coding"
"70061","ENSG00000222009","BTBD19","protein_coding"
"73730","ENSG00000133243","BTBD2","protein_coding"
"6324","ENSG00000132640","BTBD3","protein_coding"
"79659","ENSG00000184887","BTBD6","protein_coding"
"58869","ENSG00000229106","BTBD6P1","processed_pseudogene"
"5796","ENSG00000277222","BTBD7","protein_coding"
"23950","ENSG00000203414","BTBD7P1","processed_pseudogene"
"16363","ENSG00000237618","BTBD7P2","processed_pseudogene"
"78861","ENSG00000189195","BTBD8","protein_coding"
"63038","ENSG00000183826","BTBD9","protein_coding"
"54008","ENSG00000226533","BTBD9-AS1","lncRNA"
"80805","ENSG00000174808","BTC","protein_coding"
"82141","ENSG00000169814","BTD","protein_coding"
"24563","ENSG00000145741","BTF3","protein_coding"
"85955","ENSG00000134717","BTF3L4","protein_coding"
"1723","ENSG00000232260","BTF3L4P1","processed_pseudogene"
"73533","ENSG00000213189","BTF3L4P2","transcribed_processed_pseudogene"
"18549","ENSG00000213108","BTF3L4P3","processed_pseudogene"
"20669","ENSG00000229226","BTF3L4P4","processed_pseudogene"
"19680","ENSG00000231120","BTF3P10","processed_pseudogene"
"3336","ENSG00000118903","BTF3P11","processed_pseudogene"
"12991","ENSG00000213003","BTF3P12","processed_pseudogene"
"18083","ENSG00000227118","BTF3P13","processed_pseudogene"
"64582","ENSG00000262609","BTF3P14","processed_pseudogene"
"15922","ENSG00000237242","BTF3P15","processed_pseudogene"
"14562","ENSG00000258282","BTF3P2","processed_pseudogene"
"28517","ENSG00000224820","BTF3P4","processed_pseudogene"
"35962","ENSG00000233594","BTF3P5","processed_pseudogene"
"2439","ENSG00000233956","BTF3P6","processed_pseudogene"
"56600","ENSG00000219986","BTF3P7","transcribed_processed_pseudogene"
"11530","ENSG00000236813","BTF3P8","processed_pseudogene"
"57254","ENSG00000224834","BTF3P9","processed_pseudogene"
"23811","ENSG00000133639","BTG1","protein_coding"
"55274","ENSG00000256720","BTG1P1","transcribed_processed_pseudogene"
"66671","ENSG00000159388","BTG2","protein_coding"
"18491","ENSG00000281484","BTG3","protein_coding"
"9444","ENSG00000235334","BTG3P1","processed_pseudogene"
"36531","ENSG00000137707","BTG4","protein_coding"
"18389","ENSG00000248156","BTG4P1","processed_pseudogene"
"57078","ENSG00000010671","BTK","protein_coding"
"63345","ENSG00000186265","BTLA","protein_coding"
"27019","ENSG00000292177","BTN1A1","protein_coding"
"26994","ENSG00000292170","BTN2A1","protein_coding"
"82470","ENSG00000124508","BTN2A2","protein_coding"
"35594","ENSG00000124549","BTN2A3P","transcribed_unprocessed_pseudogene"
"61186","ENSG00000026950","BTN3A1","protein_coding"
"81816","ENSG00000186470","BTN3A2","protein_coding"
"79859","ENSG00000111801","BTN3A3","protein_coding"
"NA.5844",NA,NA,NA
"28121","ENSG00000275798","BTNL2","protein_coding"
"76688","ENSG00000168903","BTNL3","protein_coding"
"76939","ENSG00000113303","BTNL8","protein_coding"
"83213","ENSG00000165810","BTNL9","protein_coding"
"79691","ENSG00000166167","BTRC","protein_coding"
"79516","ENSG00000169679","BUB1","protein_coding"
"58292","ENSG00000156970","BUB1B","protein_coding"
"32395","ENSG00000270778","BUB1P1","processed_pseudogene"
"67456","ENSG00000154473","BUB3","protein_coding"
"58374","ENSG00000227968","BUB3P1","processed_pseudogene"
"82389","ENSG00000137656","BUD13","protein_coding"
"40393","ENSG00000270689","BUD13P1","processed_pseudogene"
"85003","ENSG00000106245","BUD31","protein_coding"
"11898","ENSG00000253684","BUD31P1","processed_pseudogene"
"9049","ENSG00000229661","BUD31P2","processed_pseudogene"
"NA.5845",NA,NA,NA
"NA.5846",NA,NA,NA
"NA.5847",NA,NA,NA
"NA.5848",NA,NA,NA
"NA.5849",NA,NA,NA
"NA.5850",NA,NA,NA
"NA.5851",NA,NA,NA
"NA.5852",NA,NA,NA
"NA.5853",NA,NA,NA
"NA.5854",NA,NA,NA
"NA.5855",NA,NA,NA
"NA.5856",NA,NA,NA
"NA.5857",NA,NA,NA
"NA.5858",NA,NA,NA
"NA.5859",NA,NA,NA
"NA.5860",NA,NA,NA
"NA.5861",NA,NA,NA
"NA.5862",NA,NA,NA
"NA.5863",NA,NA,NA
"NA.5864",NA,NA,NA
"NA.5865",NA,NA,NA
"NA.5866",NA,NA,NA
"NA.5867",NA,NA,NA
"NA.5868",NA,NA,NA
"NA.5869",NA,NA,NA
"NA.5870",NA,NA,NA
"NA.5871",NA,NA,NA
"NA.5872",NA,NA,NA
"NA.5873",NA,NA,NA
"NA.5874",NA,NA,NA
"NA.5875",NA,NA,NA
"NA.5876",NA,NA,NA
"NA.5877",NA,NA,NA
"NA.5878",NA,NA,NA
"NA.5879",NA,NA,NA
"69324","ENSG00000112578","BYSL","protein_coding"
"NA.5880",NA,NA,NA
"NA.5881",NA,NA,NA
"83072","ENSG00000082153","BZW1","protein_coding"
"30120","ENSG00000236686","BZW1P1","processed_pseudogene"
"61497","ENSG00000198406","BZW1P2","processed_pseudogene"
"81582","ENSG00000136261","BZW2","protein_coding"
"NA.5882",NA,NA,NA
"68246","ENSG00000214688","C10orf105","protein_coding"
"NA.5883",NA,NA,NA
"NA.5884",NA,NA,NA
"NA.5885",NA,NA,NA
"NA.5886",NA,NA,NA
"NA.5887",NA,NA,NA
"33285","ENSG00000183559","C10orf120","protein_coding"
"NA.5888",NA,NA,NA
"NA.5889",NA,NA,NA
"NA.5890",NA,NA,NA
"NA.5891",NA,NA,NA
"NA.5892",NA,NA,NA
"NA.5893",NA,NA,NA
"NA.5894",NA,NA,NA
"NA.5895",NA,NA,NA
"NA.5896",NA,NA,NA
"33032","ENSG00000178645","C10orf53","protein_coding"
"NA.5897",NA,NA,NA
"49321","ENSG00000222047","C10orf55","lncRNA"
"49695","ENSG00000203942","C10orf62","protein_coding"
"79728","ENSG00000179133","C10orf67","protein_coding"
"78844","ENSG00000177354","C10orf71","protein_coding"
"37146","ENSG00000236208","C10orf71-AS1","lncRNA"
"NA.5898",NA,NA,NA
"NA.5899",NA,NA,NA
"33341","ENSG00000119965","C10orf88","protein_coding"
"31830","ENSG00000154493","C10orf90","protein_coding"
"NA.5900",NA,NA,NA
"16607","ENSG00000120055","C10orf95","protein_coding"
"NA.5901",NA,NA,NA
"NA.5902",NA,NA,NA
"31177","ENSG00000176029","C11orf16","protein_coding"
"84220","ENSG00000110665","C11orf21","protein_coding"
"80651","ENSG00000171067","C11orf24","protein_coding"
"NA.5903",NA,NA,NA
"NA.5904",NA,NA,NA
"NA.5905",NA,NA,NA
"32372","ENSG00000171987","C11orf40","lncRNA"
"42664","ENSG00000180878","C11orf42","protein_coding"
"NA.5906",NA,NA,NA
"NA.5907",NA,NA,NA
"NA.5908",NA,NA,NA
"27821","ENSG00000149300","C11orf52","protein_coding"
"NA.5909",NA,NA,NA
"82258","ENSG00000182919","C11orf54","protein_coding"
"NA.5910",NA,NA,NA
"85356","ENSG00000110696","C11orf58","protein_coding"
"NA.5911",NA,NA,NA
"62830","ENSG00000166323","C11orf65","protein_coding"
"28382","ENSG00000175573","C11orf68","protein_coding"
"NA.5912",NA,NA,NA
"29879","ENSG00000180425","C11orf71","protein_coding"
"NA.5913",NA,NA,NA
"NA.5914",NA,NA,NA
"NA.5915",NA,NA,NA
"NA.5916",NA,NA,NA
"NA.5917",NA,NA,NA
"NA.5918",NA,NA,NA
"40572","ENSG00000173237","C11orf86","protein_coding"
"66919","ENSG00000185742","C11orf87","protein_coding"
"NA.5919",NA,NA,NA
"36229","ENSG00000205177","C11orf91","protein_coding"
"NA.5920",NA,NA,NA
"NA.5921",NA,NA,NA
"41549","ENSG00000187479","C11orf96","protein_coding"
"84893","ENSG00000257057","C11orf97","protein_coding"
"31534","ENSG00000278615","C11orf98","protein_coding"
"20844","ENSG00000232158","C11orf98P1","processed_pseudogene"
"NA.5922",NA,NA,NA
"NA.5923",NA,NA,NA
"NA.5924",NA,NA,NA
"NA.5925",NA,NA,NA
"37418","ENSG00000179088","C12orf42","protein_coding"
"65301","ENSG00000157895","C12orf43","protein_coding"
"NA.5926",NA,NA,NA
"NA.5927",NA,NA,NA
"27694","ENSG00000165805","C12orf50","protein_coding"
"34733","ENSG00000177627","C12orf54","protein_coding"
"72430","ENSG00000185306","C12orf56","protein_coding"
"71490","ENSG00000111678","C12orf57","protein_coding"
"75625","ENSG00000182993","C12orf60","protein_coding"
"NA.5928",NA,NA,NA
"NA.5929",NA,NA,NA
"33676","ENSG00000214700","C12orf71","protein_coding"
"NA.5930",NA,NA,NA
"NA.5931",NA,NA,NA
"65255","ENSG00000235162","C12orf75","protein_coding"
"36389","ENSG00000174456","C12orf76","protein_coding"
"NA.5932",NA,NA,NA
"NA.5933",NA,NA,NA
"NA.5934",NA,NA,NA
"NA.5935",NA,NA,NA
"NA.5936",NA,NA,NA
"59839","ENSG00000179933","C14orf119","protein_coding"
"18704","ENSG00000227051","C14orf132","protein_coding"
"NA.5937",NA,NA,NA
"NA.5938",NA,NA,NA
"NA.5939",NA,NA,NA
"NA.5940",NA,NA,NA
"NA.5941",NA,NA,NA
"NA.5942",NA,NA,NA
"5197","ENSG00000274126","C14orf180","protein_coding"
"NA.5943",NA,NA,NA
"NA.5944",NA,NA,NA
"NA.5945",NA,NA,NA
"52270","ENSG00000179008","C14orf39","protein_coding"
"NA.5946",NA,NA,NA
"NA.5947",NA,NA,NA
"82171","ENSG00000100802","C14orf93","protein_coding"
"NA.5948",NA,NA,NA
"NA.5949",NA,NA,NA
"35611","ENSG00000183643","C15orf32","lncRNA"
"NA.5950",NA,NA,NA
"54328","ENSG00000167173","C15orf39","protein_coding"
"33131","ENSG00000169609","C15orf40","protein_coding"
"NA.5951",NA,NA,NA
"NA.5952",NA,NA,NA
"80242","ENSG00000166920","C15orf48","protein_coding"
"NA.5953",NA,NA,NA
"NA.5954",NA,NA,NA
"NA.5955",NA,NA,NA
"NA.5956",NA,NA,NA
"NA.5957",NA,NA,NA
"NA.5958",NA,NA,NA
"NA.5959",NA,NA,NA
"48541","ENSG00000189227","C15orf61","protein_coding"
"11240","ENSG00000188277","C15orf62","protein_coding"
"NA.5960",NA,NA,NA
"NA.5961",NA,NA,NA
"NA.5962",NA,NA,NA
"2817","ENSG00000291963","C16orf46","protein_coding"
"NA.5963",NA,NA,NA
"NA.5964",NA,NA,NA
"83532","ENSG00000185905","C16orf54","protein_coding"
"NA.5965",NA,NA,NA
"NA.5966",NA,NA,NA
"NA.5967",NA,NA,NA
"NA.5968",NA,NA,NA
"NA.5969",NA,NA,NA
"NA.5970",NA,NA,NA
"69235","ENSG00000154102","C16orf74","protein_coding"
"63819","ENSG00000166152","C16orf78","protein_coding"
"64830","ENSG00000234186","C16orf82","protein_coding"
"65933","ENSG00000159761","C16orf86","protein_coding"
"67851","ENSG00000155330","C16orf87","protein_coding"
"81052","ENSG00000153446","C16orf89","protein_coding"
"61722","ENSG00000215131","C16orf90","protein_coding"
"NA.5971",NA,NA,NA
"64658","ENSG00000167194","C16orf92","protein_coding"
"NA.5972",NA,NA,NA
"78840","ENSG00000260456","C16orf95","protein_coding"
"73952","ENSG00000205832","C16orf96","protein_coding"
"NA.5973",NA,NA,NA
"74058","ENSG00000256806","C17orf100","protein_coding"
"NA.5974",NA,NA,NA
"NA.5975",NA,NA,NA
"NA.5976",NA,NA,NA
"78609","ENSG00000205710","C17orf107","protein_coding"
"NA.5977",NA,NA,NA
"NA.5978",NA,NA,NA
"NA.5979",NA,NA,NA
"63566","ENSG00000270806","C17orf50","protein_coding"
"NA.5980",NA,NA,NA
"NA.5981",NA,NA,NA
"79845","ENSG00000186665","C17orf58","protein_coding"
"NA.5982",NA,NA,NA
"NA.5983",NA,NA,NA
"NA.5984",NA,NA,NA
"85628","ENSG00000214226","C17orf67","protein_coding"
"NA.5985",NA,NA,NA
"83367","ENSG00000108666","C17orf75","protein_coding"
"NA.5986",NA,NA,NA
"11290","ENSG00000278145","C17orf78","protein_coding"
"NA.5987",NA,NA,NA
"NA.5988",NA,NA,NA
"NA.5989",NA,NA,NA
"NA.5990",NA,NA,NA
"NA.5991",NA,NA,NA
"NA.5992",NA,NA,NA
"NA.5993",NA,NA,NA
"65108","ENSG00000187997","C17orf99","protein_coding"
"NA.5994",NA,NA,NA
"4188","ENSG00000279020","C18orf15","TEC"
"3494","ENSG00000141428","C18orf21","protein_coding"
"NA.5995",NA,NA,NA
"36553","ENSG00000177576","C18orf32","protein_coding"
"NA.5996",NA,NA,NA
"13232","ENSG00000166845","C18orf54","protein_coding"
"5105","ENSG00000206043","C18orf63","protein_coding"
"NA.5997",NA,NA,NA
"NA.5998",NA,NA,NA
"79361","ENSG00000131943","C19orf12","protein_coding"
"19577","ENSG00000177025","C19orf18","protein_coding"
"NA.5999",NA,NA,NA
"82833","ENSG00000119559","C19orf25","protein_coding"
"55025","ENSG00000167644","C19orf33","protein_coding"
"NA.6000",NA,NA,NA
"55297","ENSG00000214212","C19orf38","protein_coding"
"NA.6001",NA,NA,NA
"79985","ENSG00000105072","C19orf44","protein_coding"
"NA.6002",NA,NA,NA
"83282","ENSG00000160392","C19orf47","protein_coding"
"NA.6003",NA,NA,NA
"NA.6004",NA,NA,NA
"69529","ENSG00000104979","C19orf53","protein_coding"
"NA.6005",NA,NA,NA
"NA.6006",NA,NA,NA
"NA.6007",NA,NA,NA
"NA.6008",NA,NA,NA
"24283","ENSG00000188032","C19orf67","protein_coding"
"NA.6009",NA,NA,NA
"NA.6010",NA,NA,NA
"NA.6011",NA,NA,NA
"22640","ENSG00000221916","C19orf73","protein_coding"
"NA.6012",NA,NA,NA
"50946","ENSG00000235034","C19orf81","protein_coding"
"27600","ENSG00000262874","C19orf84","protein_coding"
"80982","ENSG00000197223","C1D","protein_coding"
"23615","ENSG00000231245","C1DP1","processed_pseudogene"
"46962","ENSG00000236217","C1DP2","transcribed_processed_pseudogene"
"18453","ENSG00000224760","C1DP3","processed_pseudogene"
"46969","ENSG00000227515","C1DP4","transcribed_processed_pseudogene"
"54900","ENSG00000254965","C1DP5","transcribed_processed_pseudogene"
"82734","ENSG00000106392","C1GALT1","protein_coding"
"5428","ENSG00000288368","C1GALT1C1","protein_coding"
"45555","ENSG00000223658","C1GALT1C1L","protein_coding"
"24891","ENSG00000257818","C1GALT1P1","processed_pseudogene"
"16086","ENSG00000251435","C1GALT1P2","processed_pseudogene"
"27504","ENSG00000253544","C1GALT1P3","processed_pseudogene"
"NA.6013",NA,NA,NA
"NA.6014",NA,NA,NA
"59263","ENSG00000180999","C1orf105","protein_coding"
"NA.6015",NA,NA,NA
"NA.6016",NA,NA,NA
"NA.6017",NA,NA,NA
"NA.6018",NA,NA,NA
"NA.6019",NA,NA,NA
"51409","ENSG00000162817","C1orf115","protein_coding"
"84444","ENSG00000182795","C1orf116","protein_coding"
"78833","ENSG00000197982","C1orf122","protein_coding"
"NA.6020",NA,NA,NA
"NA.6021",NA,NA,NA
"NA.6022",NA,NA,NA
"NA.6023",NA,NA,NA
"NA.6024",NA,NA,NA
"NA.6025",NA,NA,NA
"64307","ENSG00000203963","C1orf141","protein_coding"
"NA.6026",NA,NA,NA
"NA.6027",NA,NA,NA
"55848","ENSG00000203910","C1orf146","protein_coding"
"NA.6028",NA,NA,NA
"NA.6029",NA,NA,NA
"86073","ENSG00000131591","C1orf159","protein_coding"
"79581","ENSG00000143110","C1orf162","protein_coding"
"69876","ENSG00000215910","C1orf167","protein_coding"
"NA.6030",NA,NA,NA
"52727","ENSG00000198912","C1orf174","protein_coding"
"NA.6031",NA,NA,NA
"57602","ENSG00000204006","C1orf185","protein_coding"
"NA.6032",NA,NA,NA
"NA.6033",NA,NA,NA
"NA.6034",NA,NA,NA
"NA.6035",NA,NA,NA
"80351","ENSG00000119280","C1orf198","protein_coding"
"NA.6036",NA,NA,NA
"85341","ENSG00000116667","C1orf21","protein_coding"
"81670","ENSG00000253313","C1orf210","protein_coding"
"85832","ENSG00000142686","C1orf216","protein_coding"
"64186","ENSG00000213057","C1orf220","lncRNA"
"64150","ENSG00000239887","C1orf226","protein_coding"
"NA.6037",NA,NA,NA
"NA.6038",NA,NA,NA
"NA.6039",NA,NA,NA
"NA.6040",NA,NA,NA
"NA.6041",NA,NA,NA
"84455","ENSG00000143793","C1orf35","protein_coding"
"85872","ENSG00000143612","C1orf43","protein_coding"
"82669","ENSG00000164008","C1orf50","protein_coding"
"79928","ENSG00000162642","C1orf52","protein_coding"
"80424","ENSG00000203724","C1orf53","protein_coding"
"85576","ENSG00000118292","C1orf54","protein_coding"
"56032","ENSG00000143443","C1orf56","protein_coding"
"NA.6042",NA,NA,NA
"NA.6043",NA,NA,NA
"NA.6044",NA,NA,NA
"85740","ENSG00000162757","C1orf74","protein_coding"
"85790","ENSG00000162598","C1orf87","protein_coding"
"57259","ENSG00000142698","C1orf94","protein_coding"
"NA.6045",NA,NA,NA
"86185","ENSG00000173372","C1QA","protein_coding"
"85475","ENSG00000173369","C1QB","protein_coding"
"71626","ENSG00000108561","C1QBP","protein_coding"
"1687","ENSG00000215353","C1QBPP1","processed_pseudogene"
"32361","ENSG00000213409","C1QBPP2","processed_pseudogene"
"86277","ENSG00000159189","C1QC","protein_coding"
"74980","ENSG00000131094","C1QL1","protein_coding"
"69041","ENSG00000260134","C1QL1P1","processed_pseudogene"
"71890","ENSG00000144119","C1QL2","protein_coding"
"34501","ENSG00000165985","C1QL3","protein_coding"
"56743","ENSG00000186897","C1QL4","protein_coding"
"83424","ENSG00000173918","C1QTNF1","protein_coding"
"76268","ENSG00000265096","C1QTNF1-AS1","lncRNA"
"79506","ENSG00000145861","C1QTNF2","protein_coding"
"60988","ENSG00000082196","C1QTNF3","protein_coding"
"22565","ENSG00000273294","C1QTNF3-AMACR","protein_coding"
"2410","ENSG00000284838","C1QTNF4","protein_coding"
"36824","ENSG00000223953","C1QTNF5","protein_coding"
"20203","ENSG00000133466","C1QTNF6","protein_coding"
"52366","ENSG00000163145","C1QTNF7","protein_coding"
"75727","ENSG00000184471","C1QTNF8","protein_coding"
"29661","ENSG00000240654","C1QTNF9","protein_coding"
"2347","ENSG00000240868","C1QTNF9-AS1","lncRNA"
"4392","ENSG00000205863","C1QTNF9B","protein_coding"
"NA.6046",NA,NA,NA
"768","ENSG00000288512","C1R","protein_coding"
"792","ENSG00000288124","C1RL","protein_coding"
"832","ENSG00000288352","C1RL-AS1","lncRNA"
"83077","ENSG00000182326","C1S","protein_coding"
"34305","ENSG00000231543","C2","protein_coding"
"55670","ENSG00000281756","C2-AS1","lncRNA"
"7808","ENSG00000258713","C20orf141","protein_coding"
"7299","ENSG00000149609","C20orf144","protein_coding"
"NA.6047",NA,NA,NA
"6973","ENSG00000125975","C20orf173","protein_coding"
"8708","ENSG00000279610","C20orf181","TEC"
"NA.6048",NA,NA,NA
"NA.6049",NA,NA,NA
"NA.6050",NA,NA,NA
"NA.6051",NA,NA,NA
"NA.6052",NA,NA,NA
"8284","ENSG00000215595","C20orf202","protein_coding"
"9829","ENSG00000198547","C20orf203","protein_coding"
"NA.6053",NA,NA,NA
"NA.6054",NA,NA,NA
"NA.6055",NA,NA,NA
"NA.6056",NA,NA,NA
"NA.6057",NA,NA,NA
"25948","ENSG00000196476","C20orf96","protein_coding"
"5909","ENSG00000222018","C21orf140","protein_coding"
"NA.6058",NA,NA,NA
"NA.6059",NA,NA,NA
"27920","ENSG00000160298","C21orf58","protein_coding"
"NA.6060",NA,NA,NA
"NA.6061",NA,NA,NA
"NA.6062",NA,NA,NA
"9213","ENSG00000154642","C21orf91","protein_coding"
"5047","ENSG00000240770","C21orf91-OT1","lncRNA"
"20570","ENSG00000273579","C22orf15","protein_coding"
"62346","ENSG00000128346","C22orf23","protein_coding"
"NA.6063",NA,NA,NA
"NA.6064",NA,NA,NA
"9212","ENSG00000100249","C22orf31","protein_coding"
"NA.6065",NA,NA,NA
"17104","ENSG00000242259","C22orf39","protein_coding"
"10588","ENSG00000205856","C22orf42","protein_coding"
"NA.6066",NA,NA,NA
"7586","ENSG00000157617","C2CD2","protein_coding"
"80556","ENSG00000172375","C2CD2L","protein_coding"
"71293","ENSG00000168014","C2CD3","protein_coding"
"23886","ENSG00000198535","C2CD4A","protein_coding"
"77593","ENSG00000205502","C2CD4B","protein_coding"
"65748","ENSG00000183186","C2CD4C","protein_coding"
"81718","ENSG00000225556","C2CD4D","protein_coding"
"83870","ENSG00000111731","C2CD5","protein_coding"
"79233","ENSG00000273045","C2orf15","protein_coding"
"NA.6067",NA,NA,NA
"NA.6068",NA,NA,NA
"NA.6069",NA,NA,NA
"NA.6070",NA,NA,NA
"NA.6071",NA,NA,NA
"NA.6072",NA,NA,NA
"NA.6073",NA,NA,NA
"85972","ENSG00000115998","C2orf42","protein_coding"
"NA.6074",NA,NA,NA
"NA.6075",NA,NA,NA
"NA.6076",NA,NA,NA
"81458","ENSG00000135974","C2orf49","protein_coding"
"NA.6077",NA,NA,NA
"NA.6078",NA,NA,NA
"NA.6079",NA,NA,NA
"NA.6080",NA,NA,NA
"42192","ENSG00000187944","C2orf66","protein_coding"
"79372","ENSG00000168887","C2orf68","protein_coding"
"42301","ENSG00000178074","C2orf69","protein_coding"
"69040","ENSG00000261046","C2orf69P1","processed_pseudogene"
"69027","ENSG00000260341","C2orf69P2","processed_pseudogene"
"69001","ENSG00000261299","C2orf69P3","processed_pseudogene"
"68996","ENSG00000260480","C2orf69P4","processed_pseudogene"
"NA.6081",NA,NA,NA
"NA.6082",NA,NA,NA
"81030","ENSG00000204128","C2orf72","protein_coding"
"NA.6083",NA,NA,NA
"45850","ENSG00000237651","C2orf74","protein_coding"
"85968","ENSG00000186132","C2orf76","protein_coding"
"1431","ENSG00000291484","C2orf78","protein_coding"
"85779","ENSG00000188674","C2orf80","protein_coding"
"48274","ENSG00000284308","C2orf81","protein_coding"
"NA.6084",NA,NA,NA
"NA.6085",NA,NA,NA
"83652","ENSG00000187699","C2orf88","protein_coding"
"NA.6086",NA,NA,NA
"81269","ENSG00000125730","C3","protein_coding"
