,MIR199A1_All_d3_c95_status
HIGD2A,OPTIMAL
HILPDA,OPTIMAL
HINFP,OPTIMAL
HIP1R,OPTIMAL
HIVEP2,OPTIMAL
HLA-DPB1,OPTIMAL
HLCS,OPTIMAL
HLX,OPTIMAL
HMBOX1,OPTIMAL
HMBS,OPTIMAL
HMCES,OPTIMAL
HMGCL,OPTIMAL
HMGN3,OPTIMAL
HMGN4,OPTIMAL
HMGN5,OPTIMAL
HMOX1,OPTIMAL
HNRNPH2,OPTIMAL
HOMER3,OPTIMAL
HOMEZ,OPTIMAL
HOXB4,OPTIMAL
HOXC6,OPTIMAL
HOXD8,OPTIMAL
HRCT1,OPTIMAL
HS2ST1,OPTIMAL
HS3ST2,OPTIMAL
HS3ST3B1,OPTIMAL
HSBP1L1,OPTIMAL
HSCB,OPTIMAL
HSD17B7,OPTIMAL
HSD17B8,OPTIMAL
HSPA12A,OPTIMAL
HSPA4L,OPTIMAL
HSPBP1,OPTIMAL
HTATIP2,OPTIMAL
HTRA2,OPTIMAL
HTRA3,OPTIMAL
HUS1,OPTIMAL
IBA57,OPTIMAL
IDH2,OPTIMAL
IDH3A,OPTIMAL
IDNK,OPTIMAL
IDS,OPTIMAL
IER3IP1,OPTIMAL
IFFO2,OPTIMAL
IFI27L1,OPTIMAL
IFRD1,OPTIMAL
IFT172,OPTIMAL
IFT27,OPTIMAL
IFT52,OPTIMAL
IFT80,OPTIMAL
IGBP1,OPTIMAL
IGF1R,OPTIMAL
IGF2BP3,OPTIMAL
IGFBP2,OPTIMAL
IGFBP3,OPTIMAL
IGHMBP2,OPTIMAL
IKZF4,OPTIMAL
IL11RA,OPTIMAL
IL13RA2,OPTIMAL
IL15RA,OPTIMAL
IL17RC,OPTIMAL
IL20RB,INFEASIBLE
IL6R,OPTIMAL
INA,OPTIMAL
ING1,OPTIMAL
ING5,OPTIMAL
INO80E,OPTIMAL
INPP4A,OPTIMAL
INPP5A,OPTIMAL
INPP5B,OPTIMAL
INPP5F,OPTIMAL
INSC,OPTIMAL
INTS3,OPTIMAL
INTS4,OPTIMAL
INTU,OPTIMAL
IP6K2,OPTIMAL
IPMK,OPTIMAL
IPO11,OPTIMAL
IPPK,INFEASIBLE
IQCE,OPTIMAL
IQCJ-SCHIP1,OPTIMAL
IQSEC2,OPTIMAL
IRF1,OPTIMAL
IRF2,OPTIMAL
IRX3,OPTIMAL
IRX5,OPTIMAL
ISCA1,OPTIMAL
ISLR,OPTIMAL
ITCH,OPTIMAL
ITGA3,OPTIMAL
ITGA6,OPTIMAL
ITPK1,OPTIMAL
ITPKB,OPTIMAL
ITPRIPL1,INFEASIBLE
JAZF1,OPTIMAL
JMY,OPTIMAL
KANK1,OPTIMAL
KANSL1L,OPTIMAL
KAT5,OPTIMAL
KATNA1,OPTIMAL
KATNAL2,OPTIMAL
KATNB1,OPTIMAL
KAZN,OPTIMAL
KBTBD2,OPTIMAL
KBTBD3,OPTIMAL
KBTBD6,OPTIMAL
KCNG1,OPTIMAL
KCNH4,OPTIMAL
KCNIP3,OPTIMAL
KCNJ15,OPTIMAL
KCTD1,OPTIMAL
KCTD15,OPTIMAL
KCTD17,OPTIMAL
KDM1B,OPTIMAL
KDM3A,OPTIMAL
KDM4A,OPTIMAL
KDM4C,OPTIMAL
KDM5B,OPTIMAL
KHDC1,OPTIMAL
KHDRBS3,OPTIMAL
KHNYN,OPTIMAL
KIAA0930,OPTIMAL
KIAA1328,OPTIMAL
KIAA1549,OPTIMAL
KIAA1586,OPTIMAL
KIAA1671,OPTIMAL
KIF13B,OPTIMAL
KIF21A,OPTIMAL
KIF24,OPTIMAL
KIF7,OPTIMAL
KLF16,OPTIMAL
KLF7,OPTIMAL
KLHDC3,OPTIMAL
KLHDC4,OPTIMAL
KLHL12,OPTIMAL
KLHL18,OPTIMAL
KLHL2,OPTIMAL
KLHL5,OPTIMAL
KPTN,OPTIMAL
KRAS,OPTIMAL
KRBOX1,OPTIMAL
KRBOX4,OPTIMAL
KRCC1,OPTIMAL
KRI1,OPTIMAL
KRT7,OPTIMAL
KRTAP2-3,OPTIMAL
L3MBTL2,OPTIMAL
L3MBTL3,INFEASIBLE
LACC1,OPTIMAL
LACTB,OPTIMAL
LACTB2,OPTIMAL
LAMA4,OPTIMAL
LAMC1,OPTIMAL
LATS1,OPTIMAL
LCMT1,OPTIMAL
LCOR,OPTIMAL
LCORL,OPTIMAL
LDB1,INFEASIBLE
LDLRAD3,OPTIMAL
LDOC1,OPTIMAL
LEMD3,OPTIMAL
LEPROTL1,OPTIMAL
LGALS8,OPTIMAL
LHFPL2,OPTIMAL
LHPP,OPTIMAL
LIG3,OPTIMAL
LIG4,OPTIMAL
LIMS1,OPTIMAL
LIN52,OPTIMAL
LIN54,OPTIMAL
LIN7A,OPTIMAL
LIN9,OPTIMAL
LITAF,OPTIMAL
LMBR1,OPTIMAL
LMCD1,INFEASIBLE
LMTK2,OPTIMAL
LOXL1,OPTIMAL
LOXL4,OPTIMAL
LPCAT2,OPTIMAL
LPCAT4,OPTIMAL
LPGAT1,OPTIMAL
LRCH1,OPTIMAL
LRCH2,INFEASIBLE
LRIG1,OPTIMAL
LRP4,OPTIMAL
LRP6,OPTIMAL
LRRC14,OPTIMAL
LRRC20,INFEASIBLE
LRRC28,OPTIMAL
LRRC37B,OPTIMAL
LRRC49,OPTIMAL
LRRC8B,OPTIMAL
LRRC8D,OPTIMAL
LRRCC1,OPTIMAL
LRRK2,OPTIMAL
LSM11,OPTIMAL
LSM12,OPTIMAL
LTBP3,OPTIMAL
LY96,OPTIMAL
LYL1,INFEASIBLE
LYSMD2,OPTIMAL
LYSMD4,OPTIMAL
MAD1L1,OPTIMAL
MAF1,OPTIMAL
MAFK,OPTIMAL
MAGED4,OPTIMAL
MAGED4B,OPTIMAL
MAGOH,OPTIMAL
MALT1,OPTIMAL
MAML2,OPTIMAL
MAMSTR,OPTIMAL
MAN2A2,OPTIMAL
MAP1S,OPTIMAL
MAP2K4,OPTIMAL
MAP2K7,OPTIMAL
MAP3K1,OPTIMAL
MAP3K3,OPTIMAL
MAP3K6,OPTIMAL
MAP3K7CL,OPTIMAL
MAP6D1,INFEASIBLE
MAP7D2,OPTIMAL
MAPK13,OPTIMAL
MAPK7,OPTIMAL
MARK1,OPTIMAL
MARS2,OPTIMAL
MAST4,OPTIMAL
MBD3,OPTIMAL
MBD5,OPTIMAL
MBD6,OPTIMAL
MBIP,OPTIMAL
MBNL2,OPTIMAL
MBP,OPTIMAL
MBTD1,OPTIMAL
MCAT,OPTIMAL
MCCC1,OPTIMAL
MCCC2,OPTIMAL
MCEE,OPTIMAL
MCM10,OPTIMAL
MCM3AP,OPTIMAL
MCM4,OPTIMAL
MDM1,OPTIMAL
ME1,OPTIMAL
ME2,OPTIMAL
MECR,OPTIMAL
MED10,OPTIMAL
MED18,OPTIMAL
MED20,OPTIMAL
MED22,OPTIMAL
MED25,OPTIMAL
MED27,OPTIMAL
MED4,OPTIMAL
MEF2C,OPTIMAL
MEF2D,OPTIMAL
MEGF8,OPTIMAL
METAP1D,OPTIMAL
METRN,OPTIMAL
METTL1,OPTIMAL
METTL13,OPTIMAL
METTL16,OPTIMAL
