,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
ARHGAP17,INFEASIBLE,,INFEASIBLE,
ARHGAP18,INFEASIBLE,,INFEASIBLE,
ARHGAP19,OPTIMAL,-0.0756435663993421,INFEASIBLE,
ARHGAP21,INFEASIBLE,,INFEASIBLE,
ARHGAP22,INFEASIBLE,,INFEASIBLE,
ARHGAP23,INFEASIBLE,,INFEASIBLE,
ARHGAP24,INFEASIBLE,,INFEASIBLE,
ARHGAP29,INFEASIBLE,,INFEASIBLE,
ARHGAP31,OPTIMAL,-1.706293471568055e-08,INFEASIBLE,
ARHGAP32,OPTIMAL,-0.2515414718872598,OPTIMAL,-0.15471232870183677
ARHGAP35,INFEASIBLE,,INFEASIBLE,
ARHGAP5,INFEASIBLE,,INFEASIBLE,
ARHGAP6,OPTIMAL,-0.2444517742295841,INFEASIBLE,
ARHGDIA,INFEASIBLE,,INFEASIBLE,
ARHGEF1,INFEASIBLE,,INFEASIBLE,
ARHGEF10,OPTIMAL,-0.16967881060661574,INFEASIBLE,
ARHGEF10L,OPTIMAL,1.0598647378529048e-08,INFEASIBLE,
ARHGEF11,OPTIMAL,-0.18529534844857767,OPTIMAL,-0.11121976194112558
ARHGEF12,INFEASIBLE,,INFEASIBLE,
ARHGEF17,OPTIMAL,-0.13618779055439195,INFEASIBLE,
ARHGEF19,OPTIMAL,-0.21698510517827985,INFEASIBLE,
ARHGEF2,INFEASIBLE,,INFEASIBLE,
ARHGEF26,OPTIMAL,3.383899925630859e-08,OPTIMAL,-0.07148541770733778
ARHGEF28,OPTIMAL,-0.17186019777481953,INFEASIBLE,
ARHGEF39,OPTIMAL,-0.3290104606964323,INFEASIBLE,
ARHGEF40,INFEASIBLE,,INFEASIBLE,
ARHGEF5,OPTIMAL,-7.079416280830027e-09,OPTIMAL,-0.015166297952646797
ARHGEF6,OPTIMAL,-0.16354518145865968,INFEASIBLE,
ARHGEF7,INFEASIBLE,,INFEASIBLE,
ARHGEF9,OPTIMAL,-0.23333331694579507,INFEASIBLE,
ARID1A,INFEASIBLE,,INFEASIBLE,
ARID1B,INFEASIBLE,,INFEASIBLE,
ARID2,OPTIMAL,-0.3136869937285605,INFEASIBLE,
ARID3A,OPTIMAL,-0.25742097333514447,INFEASIBLE,
ARID4A,OPTIMAL,-0.3142907452150173,INFEASIBLE,
ARID4B,INFEASIBLE,,INFEASIBLE,
ARID5B,INFEASIBLE,,INFEASIBLE,
ARIH1,OPTIMAL,5.5520920128401955e-08,INFEASIBLE,
ARIH2,INFEASIBLE,,INFEASIBLE,
ARL1,INFEASIBLE,,INFEASIBLE,
ARL10,OPTIMAL,-0.3272572787285905,INFEASIBLE,
ARL13B,INFEASIBLE,,INFEASIBLE,
ARL14EP,INFEASIBLE,,INFEASIBLE,
ARL16,INFEASIBLE,,INFEASIBLE,
ARL2,INFEASIBLE,,INFEASIBLE,
ARL3,INFEASIBLE,,INFEASIBLE,
ARL4A,INFEASIBLE,,INFEASIBLE,
ARL4C,OPTIMAL,-0.32185894363304846,INFEASIBLE,
ARL4D,OPTIMAL,-0.5222467462040643,INFEASIBLE,
ARL5A,INFEASIBLE,,INFEASIBLE,
ARL5B,OPTIMAL,1.3212631205753762e-07,OPTIMAL,2.4167041464709134e-07
ARL6,OPTIMAL,-0.03468249541799333,INFEASIBLE,
ARL6IP1,INFEASIBLE,,INFEASIBLE,
ARL6IP5,INFEASIBLE,,INFEASIBLE,
ARL6IP6,INFEASIBLE,,INFEASIBLE,
ARL8A,OPTIMAL,-0.21682641894089566,OPTIMAL,-0.11669166890790285
ARL8B,INFEASIBLE,,INFEASIBLE,
ARMC1,INFEASIBLE,,INFEASIBLE,
ARMC10,OPTIMAL,-0.2793961472046712,INFEASIBLE,
ARMC5,OPTIMAL,-0.28371125936316566,OPTIMAL,-0.0731788432417317
ARMC6,INFEASIBLE,,INFEASIBLE,
ARMC7,OPTIMAL,-0.035748258754841895,INFEASIBLE,
ARMC8,INFEASIBLE,,INFEASIBLE,
ARMC9,OPTIMAL,-0.21746330633259933,INFEASIBLE,
ARMCX1,INFEASIBLE,,INFEASIBLE,
ARMCX2,OPTIMAL,-0.29056103079434714,INFEASIBLE,
ARMCX3,INFEASIBLE,,INFEASIBLE,
ARMCX4,OPTIMAL,-0.42235722723785024,OPTIMAL,-0.22625000100731665
ARMCX6,OPTIMAL,-0.3655613657015344,INFEASIBLE,
ARMT1,OPTIMAL,4.051336612013482e-08,INFEASIBLE,
ARNT,OPTIMAL,-0.2789187642803466,INFEASIBLE,
ARPC1A,INFEASIBLE,,INFEASIBLE,
ARPC1B,INFEASIBLE,,INFEASIBLE,
ARPC2,INFEASIBLE,,INFEASIBLE,
ARPC3,INFEASIBLE,,INFEASIBLE,
ARPC4,INFEASIBLE,,INFEASIBLE,
ARPC5,INFEASIBLE,,INFEASIBLE,
ARPC5L,INFEASIBLE,,INFEASIBLE,
ARPIN,OPTIMAL,-0.41245772773843525,INFEASIBLE,
ARPP19,INFEASIBLE,,INFEASIBLE,
ARRB1,OPTIMAL,-0.17049337651318927,INFEASIBLE,
ARRB2,OPTIMAL,-0.1830267307566491,OPTIMAL,-0.11375531577530053
ARRDC1,OPTIMAL,-0.3407008073867228,INFEASIBLE,
ARRDC2,OPTIMAL,-0.23040675573875527,INFEASIBLE,
ARRDC3,INFEASIBLE,,INFEASIBLE,
ARSA,OPTIMAL,-0.3409023783910216,INFEASIBLE,
ARSB,OPTIMAL,-0.38202812807127545,INFEASIBLE,
ARSD,OPTIMAL,-3.005417288647588e-09,INFEASIBLE,
ARSJ,INFEASIBLE,,INFEASIBLE,
ARSK,OPTIMAL,-0.21677753443697523,OPTIMAL,-0.1478119083837533
ARV1,OPTIMAL,-0.15969446481515692,INFEASIBLE,
ASAH1,OPTIMAL,3.240527205344685e-08,INFEASIBLE,
ASAH2B,OPTIMAL,-0.34663464330868127,INFEASIBLE,
ASAP1,INFEASIBLE,,INFEASIBLE,
ASAP2,INFEASIBLE,,INFEASIBLE,
ASB1,INFEASIBLE,,INFEASIBLE,
ASB13,OPTIMAL,-0.2366699788366789,INFEASIBLE,
ASB6,INFEASIBLE,,INFEASIBLE,
ASB7,OPTIMAL,-0.050710853585340256,INFEASIBLE,
ASB8,INFEASIBLE,,INFEASIBLE,
ASCC1,OPTIMAL,1.9258392037325405e-08,INFEASIBLE,
ASCC2,INFEASIBLE,,INFEASIBLE,
ASCC3,INFEASIBLE,,INFEASIBLE,
ASF1A,OPTIMAL,1.031371785896003e-07,INFEASIBLE,
ASF1B,INFEASIBLE,,INFEASIBLE,
ASH1L,INFEASIBLE,,INFEASIBLE,
ASH2L,INFEASIBLE,,INFEASIBLE,
ASL,OPTIMAL,-0.42815146868883924,INFEASIBLE,
ASMTL,OPTIMAL,-0.31179649842385626,INFEASIBLE,
ASNS,INFEASIBLE,,INFEASIBLE,
ASNSD1,INFEASIBLE,,INFEASIBLE,
ASPH,INFEASIBLE,,INFEASIBLE,
ASPM,INFEASIBLE,,INFEASIBLE,
ASPSCR1,OPTIMAL,-0.23186520323788795,INFEASIBLE,
ASS1,INFEASIBLE,,INFEASIBLE,
ASTE1,OPTIMAL,-0.15424519659419814,OPTIMAL,-0.10190935342228602
ASXL1,INFEASIBLE,,INFEASIBLE,
ASXL2,INFEASIBLE,,INFEASIBLE,
ATAD1,OPTIMAL,2.3698810348805135e-08,INFEASIBLE,
ATAD2,INFEASIBLE,,INFEASIBLE,
ATAD2B,OPTIMAL,-0.27716152497202684,INFEASIBLE,
ATAD3A,INFEASIBLE,,INFEASIBLE,
ATAD3B,INFEASIBLE,,INFEASIBLE,
ATAD5,INFEASIBLE,,INFEASIBLE,
ATAT1,OPTIMAL,-0.20925226116832468,INFEASIBLE,
ATE1,INFEASIBLE,,INFEASIBLE,
ATF1,INFEASIBLE,,INFEASIBLE,
ATF2,OPTIMAL,-0.3577047217918406,INFEASIBLE,
ATF4,INFEASIBLE,,INFEASIBLE,
ATF5,OPTIMAL,1.505153989532836e-08,INFEASIBLE,
ATF6,INFEASIBLE,,INFEASIBLE,
ATF6B,OPTIMAL,5.2226833605713616e-08,INFEASIBLE,
ATF7,OPTIMAL,-0.2870436067139184,INFEASIBLE,
ATF7IP,INFEASIBLE,,INFEASIBLE,
ATG10,OPTIMAL,-0.21306021037889666,INFEASIBLE,
ATG12,INFEASIBLE,,INFEASIBLE,
ATG13,OPTIMAL,-0.23306261375002074,INFEASIBLE,
ATG14,INFEASIBLE,,INFEASIBLE,
ATG16L1,OPTIMAL,-0.3675883038041394,INFEASIBLE,
ATG2A,OPTIMAL,-0.022794242907234183,INFEASIBLE,
ATG2B,OPTIMAL,-0.20546052558376743,INFEASIBLE,
ATG3,INFEASIBLE,,INFEASIBLE,
ATG4A,OPTIMAL,-0.410176224555025,INFEASIBLE,
ATG4B,INFEASIBLE,,INFEASIBLE,
ATG4C,OPTIMAL,1.367081872781085e-08,INFEASIBLE,
ATG5,OPTIMAL,-0.15024940279191443,INFEASIBLE,
ATG7,INFEASIBLE,,INFEASIBLE,
ATG9A,INFEASIBLE,,INFEASIBLE,
ATIC,INFEASIBLE,,INFEASIBLE,
ATL1,OPTIMAL,-0.27693262538811947,INFEASIBLE,
ATL2,OPTIMAL,-0.21694801916671344,INFEASIBLE,
ATL3,INFEASIBLE,,INFEASIBLE,
ATM,INFEASIBLE,,INFEASIBLE,
ATMIN,OPTIMAL,9.556629550411954e-08,INFEASIBLE,
ATN1,OPTIMAL,8.786206202441739e-08,INFEASIBLE,
ATOH8,OPTIMAL,-0.3664967554444123,INFEASIBLE,
ATOX1,INFEASIBLE,,INFEASIBLE,
ATP10A,OPTIMAL,3.678644387699624e-08,INFEASIBLE,
ATP10D,OPTIMAL,-0.2501654422782211,INFEASIBLE,
ATP11A,OPTIMAL,3.7213256421732434e-09,INFEASIBLE,
ATP11B,OPTIMAL,7.439509038165658e-08,INFEASIBLE,
ATP11C,INFEASIBLE,,INFEASIBLE,
ATP13A1,INFEASIBLE,,INFEASIBLE,
ATP13A2,OPTIMAL,-0.2968146779972268,INFEASIBLE,
ATP13A3,INFEASIBLE,,INFEASIBLE,
ATP1A1,INFEASIBLE,,INFEASIBLE,
ATP1B1,INFEASIBLE,,INFEASIBLE,
ATP1B3,INFEASIBLE,,INFEASIBLE,
ATP2A2,INFEASIBLE,,INFEASIBLE,
ATP2B1,INFEASIBLE,,INFEASIBLE,
ATP2B4,INFEASIBLE,,INFEASIBLE,
ATP2C1,INFEASIBLE,,INFEASIBLE,
ATP6AP1,INFEASIBLE,,INFEASIBLE,
ATP6AP2,INFEASIBLE,,INFEASIBLE,
ATP6V0A1,OPTIMAL,2.927509844845017e-08,INFEASIBLE,
ATP6V0A2,OPTIMAL,-0.38013083243035,INFEASIBLE,
ATP6V0B,INFEASIBLE,,INFEASIBLE,
ATP6V0D1,INFEASIBLE,,INFEASIBLE,
ATP6V0E1,INFEASIBLE,,INFEASIBLE,
ATP6V0E2,OPTIMAL,-0.3479017633768159,INFEASIBLE,
ATP6V1A,INFEASIBLE,,INFEASIBLE,
ATP6V1B2,INFEASIBLE,,INFEASIBLE,
ATP6V1C1,INFEASIBLE,,INFEASIBLE,
ATP6V1D,INFEASIBLE,,INFEASIBLE,
ATP6V1E1,INFEASIBLE,,INFEASIBLE,
ATP6V1F,INFEASIBLE,,INFEASIBLE,
ATP6V1G1,INFEASIBLE,,INFEASIBLE,
ATP6V1H,OPTIMAL,6.095429481010373e-08,INFEASIBLE,
ATP7A,OPTIMAL,-0.20487371646923958,INFEASIBLE,
ATP8A2,OPTIMAL,1.1557757435951998e-07,OPTIMAL,1.1550514688438193e-07
ATP8B1,OPTIMAL,-1.7579049014897723e-07,INFEASIBLE,
ATP8B2,OPTIMAL,-0.3351333469399699,INFEASIBLE,
ATP9A,INFEASIBLE,,INFEASIBLE,
ATP9B,OPTIMAL,-0.3470395868567013,INFEASIBLE,
ATPAF1,INFEASIBLE,,INFEASIBLE,
ATPAF2,OPTIMAL,-0.29716725970560315,INFEASIBLE,
ATR,INFEASIBLE,,INFEASIBLE,
ATRAID,INFEASIBLE,,INFEASIBLE,
ATRIP,OPTIMAL,4.5240670986835194e-08,INFEASIBLE,
ATRN,OPTIMAL,-0.30411263959068563,INFEASIBLE,
ATRX,INFEASIBLE,,INFEASIBLE,
ATXN10,INFEASIBLE,,INFEASIBLE,
ATXN1L,OPTIMAL,1.192682901112326e-08,INFEASIBLE,
ATXN2,INFEASIBLE,,INFEASIBLE,
ATXN2L,OPTIMAL,3.766846397600196e-08,INFEASIBLE,
ATXN3,OPTIMAL,5.609047725124856e-08,INFEASIBLE,
ATXN7,INFEASIBLE,,INFEASIBLE,
ATXN7L1,INFEASIBLE,,INFEASIBLE,
ATXN7L3,OPTIMAL,-0.22058521208662027,INFEASIBLE,
ATXN7L3B,INFEASIBLE,,INFEASIBLE,
AUH,OPTIMAL,-0.2710897978833168,INFEASIBLE,
AUNIP,OPTIMAL,7.91489939815107e-08,INFEASIBLE,
AUP1,INFEASIBLE,,INFEASIBLE,
AURKA,INFEASIBLE,,INFEASIBLE,
AURKAIP1,INFEASIBLE,,INFEASIBLE,
AURKB,INFEASIBLE,,INFEASIBLE,
AUTS2,OPTIMAL,-0.17664352248884663,INFEASIBLE,
AVEN,INFEASIBLE,,INFEASIBLE,
AVL9,INFEASIBLE,,INFEASIBLE,
AVPI1,OPTIMAL,-0.301481104686049,INFEASIBLE,
AXIN1,OPTIMAL,3.929890189301417e-09,INFEASIBLE,
AXIN2,OPTIMAL,-0.1434887060927804,OPTIMAL,-0.06724851864070916
AXL,INFEASIBLE,,INFEASIBLE,
AZI2,OPTIMAL,-0.08966322676066775,INFEASIBLE,
AZIN1,INFEASIBLE,,INFEASIBLE,
B2M,INFEASIBLE,,INFEASIBLE,
B3GALNT1,OPTIMAL,5.9563789695288066e-08,INFEASIBLE,
B3GALNT2,OPTIMAL,-0.24202826288897142,INFEASIBLE,
B3GALT6,OPTIMAL,-0.01380639705127142,INFEASIBLE,
B3GAT3,OPTIMAL,-0.33888124526487823,INFEASIBLE,
B3GLCT,OPTIMAL,-0.2840138360665476,INFEASIBLE,
B3GNT2,INFEASIBLE,,INFEASIBLE,
B3GNT5,OPTIMAL,2.549564395304062e-07,INFEASIBLE,
B3GNT9,OPTIMAL,-4.568252828668719e-08,OPTIMAL,-7.141795840477039e-07
B3GNTL1,OPTIMAL,-0.16776828840890873,INFEASIBLE,
B4GALT1,INFEASIBLE,,INFEASIBLE,
B4GALT2,INFEASIBLE,,INFEASIBLE,
B4GALT3,OPTIMAL,3.228962277413605e-08,INFEASIBLE,
B4GALT4,OPTIMAL,5.551957872058572e-08,INFEASIBLE,
B4GALT5,INFEASIBLE,,INFEASIBLE,
B4GALT7,OPTIMAL,7.767669323906188e-08,INFEASIBLE,
B4GAT1,OPTIMAL,-0.25281051424811785,INFEASIBLE,
B9D1,OPTIMAL,1.068756596860685e-07,INFEASIBLE,
B9D2,OPTIMAL,-2.2070222192610216e-08,INFEASIBLE,
BABAM1,INFEASIBLE,,INFEASIBLE,
BACE1,INFEASIBLE,,INFEASIBLE,
BACE2,INFEASIBLE,,INFEASIBLE,
BACH1,OPTIMAL,-0.11292846955458187,INFEASIBLE,
BAD,INFEASIBLE,,INFEASIBLE,
BAG1,INFEASIBLE,,INFEASIBLE,
BAG2,INFEASIBLE,,INFEASIBLE,
BAG3,INFEASIBLE,,INFEASIBLE,
BAG4,OPTIMAL,-0.4726992559124419,INFEASIBLE,
BAG5,INFEASIBLE,,INFEASIBLE,
BAG6,INFEASIBLE,,INFEASIBLE,
BAHCC1,OPTIMAL,-0.159174380629293,INFEASIBLE,
BAHD1,OPTIMAL,-0.3945178259991916,INFEASIBLE,
BAIAP2,OPTIMAL,7.022469053244103e-08,INFEASIBLE,
BAIAP2L2,OPTIMAL,-0.3110521957936567,INFEASIBLE,
BAK1,OPTIMAL,-0.22108650725028473,OPTIMAL,-0.11323033054153812
BANF1,INFEASIBLE,,INFEASIBLE,
BANP,OPTIMAL,-0.2064249293864773,INFEASIBLE,
BAP1,INFEASIBLE,,INFEASIBLE,
BARD1,INFEASIBLE,,INFEASIBLE,
BASP1,INFEASIBLE,,INFEASIBLE,
BATF3,OPTIMAL,-0.2605605684138964,INFEASIBLE,
BAX,OPTIMAL,-0.49781768970180945,INFEASIBLE,
BAZ1A,INFEASIBLE,,INFEASIBLE,
BAZ1B,INFEASIBLE,,INFEASIBLE,
BAZ2A,INFEASIBLE,,INFEASIBLE,
BAZ2B,INFEASIBLE,,INFEASIBLE,
BBIP1,OPTIMAL,4.2194112384563774e-08,INFEASIBLE,
BBS2,OPTIMAL,-0.27511257837966563,INFEASIBLE,
BBS4,OPTIMAL,-1.6072491177838922e-08,INFEASIBLE,
BBS7,INFEASIBLE,,INFEASIBLE,
BBS9,OPTIMAL,-2.8841751465350532e-08,OPTIMAL,-0.0013008485401368472
BBX,INFEASIBLE,,INFEASIBLE,
BCAP29,INFEASIBLE,,INFEASIBLE,
BCAP31,INFEASIBLE,,INFEASIBLE,
BCAR1,INFEASIBLE,,INFEASIBLE,
BCAR3,OPTIMAL,-0.2942838346286592,INFEASIBLE,
BCAS2,INFEASIBLE,,INFEASIBLE,
BCAS3,OPTIMAL,-0.28667122587014343,INFEASIBLE,
BCAS4,OPTIMAL,-0.20240070144296654,INFEASIBLE,
BCAT1,INFEASIBLE,,INFEASIBLE,
BCAT2,INFEASIBLE,,INFEASIBLE,
BCCIP,INFEASIBLE,,INFEASIBLE,
BCDIN3D,OPTIMAL,-0.1939035450838221,OPTIMAL,-0.14590028845693245
BCKDHB,OPTIMAL,-0.1383974889432474,OPTIMAL,-0.0021306316856301594
BCKDK,INFEASIBLE,,INFEASIBLE,
BCL10,INFEASIBLE,,INFEASIBLE,
BCL2L1,INFEASIBLE,,INFEASIBLE,
BCL2L12,INFEASIBLE,,INFEASIBLE,
BCL2L13,INFEASIBLE,,INFEASIBLE,
BCL2L2,OPTIMAL,5.1103309522720834e-08,INFEASIBLE,
BCL3,OPTIMAL,-0.284023244754637,INFEASIBLE,
BCL6,OPTIMAL,-0.19699969236297465,INFEASIBLE,
BCL7A,INFEASIBLE,,INFEASIBLE,
BCL7B,INFEASIBLE,,INFEASIBLE,
BCL7C,INFEASIBLE,,INFEASIBLE,
BCL9,OPTIMAL,-0.24104822372849333,INFEASIBLE,
BCL9L,OPTIMAL,-0.33406865207943426,INFEASIBLE,
BCLAF1,INFEASIBLE,,INFEASIBLE,
BCOR,OPTIMAL,-0.1957008125228023,INFEASIBLE,
BCR,OPTIMAL,-0.26645758926301816,INFEASIBLE,
BCS1L,INFEASIBLE,,INFEASIBLE,
BDH1,OPTIMAL,2.5318666038701775e-08,INFEASIBLE,
BDH2,OPTIMAL,-0.2511245199785093,OPTIMAL,-0.1533403944476923
BDP1,INFEASIBLE,,INFEASIBLE,
BECN1,OPTIMAL,-0.4055630028322236,INFEASIBLE,
BEND6,OPTIMAL,5.41556646878103e-08,INFEASIBLE,
BET1,OPTIMAL,-0.3017500304487764,INFEASIBLE,
BET1L,INFEASIBLE,,INFEASIBLE,
BEX1,OPTIMAL,8.430106500957547e-09,INFEASIBLE,
BEX4,OPTIMAL,-0.15860276553152422,OPTIMAL,-0.09469374274001352
BFAR,INFEASIBLE,,INFEASIBLE,
BGN,OPTIMAL,-0.23593705545190904,INFEASIBLE,
BHMT2,OPTIMAL,1.7858369794620668e-08,INFEASIBLE,
BICC1,INFEASIBLE,,INFEASIBLE,
BICD1,OPTIMAL,-0.007693375492293713,INFEASIBLE,
BICD2,INFEASIBLE,,INFEASIBLE,
BID,OPTIMAL,2.2922196671304424e-07,INFEASIBLE,
BIN1,OPTIMAL,6.08874203333842e-08,INFEASIBLE,
BIN3,OPTIMAL,-3.008719249265011e-08,INFEASIBLE,
BIRC2,INFEASIBLE,,INFEASIBLE,
BIRC5,INFEASIBLE,,INFEASIBLE,
BIRC6,INFEASIBLE,,INFEASIBLE,
BIVM,OPTIMAL,-0.07719998070622365,INFEASIBLE,
BLCAP,INFEASIBLE,,INFEASIBLE,
BLM,INFEASIBLE,,INFEASIBLE,
BLMH,INFEASIBLE,,INFEASIBLE,
BLOC1S1,OPTIMAL,-0.33352790731626614,INFEASIBLE,
BLOC1S2,OPTIMAL,-0.11726950992591967,INFEASIBLE,
BLOC1S3,OPTIMAL,-0.3723436966125109,INFEASIBLE,
BLOC1S4,OPTIMAL,-0.33261619405740567,INFEASIBLE,
BLOC1S5,OPTIMAL,-0.29819419695054017,INFEASIBLE,
BLOC1S6,INFEASIBLE,,INFEASIBLE,
BLVRA,INFEASIBLE,,INFEASIBLE,
BLVRB,INFEASIBLE,,INFEASIBLE,
BLZF1,OPTIMAL,6.133253484972858e-09,INFEASIBLE,
BMI1,OPTIMAL,-0.24048531815773647,INFEASIBLE,
BMP1,OPTIMAL,-0.4269127956475455,INFEASIBLE,
BMP2K,OPTIMAL,1.784950063610863e-08,INFEASIBLE,
BMPER,OPTIMAL,-0.4015014761276874,INFEASIBLE,
BMPR1A,OPTIMAL,-0.40214846469267906,INFEASIBLE,
BMPR2,INFEASIBLE,,INFEASIBLE,
BMS1,INFEASIBLE,,INFEASIBLE,
BNC1,INFEASIBLE,,INFEASIBLE,
BNC2,OPTIMAL,-0.28493582302411286,INFEASIBLE,
BNIP1,OPTIMAL,-0.1875713217832109,INFEASIBLE,
BNIP2,INFEASIBLE,,INFEASIBLE,
BNIP3,INFEASIBLE,,INFEASIBLE,
BNIP3L,INFEASIBLE,,INFEASIBLE,
BOC,OPTIMAL,2.4968270206874882e-08,INFEASIBLE,
BOD1,INFEASIBLE,,INFEASIBLE,
BOD1L1,INFEASIBLE,,INFEASIBLE,
BOK,OPTIMAL,4.093510532003687e-09,INFEASIBLE,
BOLA1,OPTIMAL,-0.01814757564601464,INFEASIBLE,
BOLA2B,INFEASIBLE,,INFEASIBLE,
BOLA3,INFEASIBLE,,INFEASIBLE,
BOP1,INFEASIBLE,,INFEASIBLE,
BORA,OPTIMAL,-0.2220566537112334,OPTIMAL,-0.14215505325476663
BPGM,OPTIMAL,2.807255644460324e-08,INFEASIBLE,
BPNT1,OPTIMAL,-0.3103880302610494,INFEASIBLE,
BPTF,INFEASIBLE,,INFEASIBLE,
BRAF,OPTIMAL,-0.3729370260799797,INFEASIBLE,
BRAP,INFEASIBLE,,INFEASIBLE,
BRAT1,OPTIMAL,-0.2661627459522913,INFEASIBLE,
BRCA1,INFEASIBLE,,INFEASIBLE,
BRCA2,INFEASIBLE,,INFEASIBLE,
BRCC3,INFEASIBLE,,INFEASIBLE,
BRD1,OPTIMAL,-0.20341993501380443,INFEASIBLE,
BRD2,INFEASIBLE,,INFEASIBLE,
BRD3,OPTIMAL,4.7587767674715546e-08,INFEASIBLE,
BRD4,INFEASIBLE,,INFEASIBLE,
BRD7,INFEASIBLE,,INFEASIBLE,
BRD8,INFEASIBLE,,INFEASIBLE,
BRD9,INFEASIBLE,,INFEASIBLE,
BRF1,OPTIMAL,-0.4528994587554868,INFEASIBLE,
BRI3,INFEASIBLE,,INFEASIBLE,
BRI3BP,INFEASIBLE,,INFEASIBLE,
BRIP1,OPTIMAL,3.904028274487577e-08,INFEASIBLE,
BRIX1,INFEASIBLE,,INFEASIBLE,
BRK1,INFEASIBLE,,INFEASIBLE,
BRMS1,INFEASIBLE,,INFEASIBLE,
BRMS1L,OPTIMAL,-0.22798782084932087,INFEASIBLE,
BROX,INFEASIBLE,,INFEASIBLE,
BRPF1,OPTIMAL,-2.025908865336414e-08,INFEASIBLE,
BRPF3,OPTIMAL,-0.2223134281941045,INFEASIBLE,
BRWD1,INFEASIBLE,,INFEASIBLE,
BSDC1,OPTIMAL,2.4644231578785934e-08,INFEASIBLE,
BSG,INFEASIBLE,,INFEASIBLE,
BST1,OPTIMAL,-0.025277552408351462,INFEASIBLE,
BTAF1,OPTIMAL,1.6811454690789413e-07,INFEASIBLE,
BTBD1,OPTIMAL,3.325345362749889e-08,INFEASIBLE,
BTBD10,OPTIMAL,-0.30508714139158377,INFEASIBLE,
BTBD2,OPTIMAL,-0.41666935095105234,INFEASIBLE,
BTBD3,OPTIMAL,-0.21655735602188692,INFEASIBLE,
BTBD6,INFEASIBLE,,INFEASIBLE,
BTBD7,INFEASIBLE,,INFEASIBLE,
BTD,OPTIMAL,-0.14237591673071417,INFEASIBLE,
BTF3,INFEASIBLE,,INFEASIBLE,
BTF3L4,OPTIMAL,-0.41665754736438254,INFEASIBLE,
BTG1,INFEASIBLE,,INFEASIBLE,
BTG2,OPTIMAL,-0.06324118625239228,OPTIMAL,-0.02627437215305564
BTG3,INFEASIBLE,,INFEASIBLE,
BTN2A1,OPTIMAL,-0.31799413598421344,INFEASIBLE,
BTN3A2,OPTIMAL,-0.37367772415861,INFEASIBLE,
BTRC,OPTIMAL,6.542767551657629e-09,INFEASIBLE,
BUB1,INFEASIBLE,,INFEASIBLE,
BUB1B,INFEASIBLE,,INFEASIBLE,
BUB3,INFEASIBLE,,INFEASIBLE,
BUD13,OPTIMAL,-0.4220209526268597,INFEASIBLE,
BUD31,INFEASIBLE,,INFEASIBLE,
BVES,OPTIMAL,-2.712017767882928e-08,INFEASIBLE,
BYSL,INFEASIBLE,,INFEASIBLE,
BZW1,INFEASIBLE,,INFEASIBLE,
BZW2,INFEASIBLE,,INFEASIBLE,
C10orf88,OPTIMAL,-3.933149500465886e-09,INFEASIBLE,
C11orf24,INFEASIBLE,,INFEASIBLE,
C11orf54,OPTIMAL,-0.15587412448372584,INFEASIBLE,
C11orf58,INFEASIBLE,,INFEASIBLE,
C11orf68,INFEASIBLE,,INFEASIBLE,
C12orf43,INFEASIBLE,,INFEASIBLE,
C12orf57,OPTIMAL,-0.3007588329261859,INFEASIBLE,
C12orf75,INFEASIBLE,,INFEASIBLE,
C12orf76,OPTIMAL,-0.3471284454103562,INFEASIBLE,
C14orf119,INFEASIBLE,,INFEASIBLE,
C14orf132,OPTIMAL,-0.3334526249951655,INFEASIBLE,
C15orf39,OPTIMAL,-0.2794947793356003,INFEASIBLE,
C15orf40,INFEASIBLE,,INFEASIBLE,
C15orf61,OPTIMAL,-0.008172910827968243,INFEASIBLE,
C16orf74,OPTIMAL,-0.23328896251855968,INFEASIBLE,
C16orf87,OPTIMAL,-0.1246074419148938,INFEASIBLE,
C17orf58,OPTIMAL,-0.23883288336574876,INFEASIBLE,
C17orf67,OPTIMAL,-0.23146059781899528,INFEASIBLE,
C17orf75,OPTIMAL,-0.3980596804305728,INFEASIBLE,
C18orf21,OPTIMAL,-0.25819759985770535,INFEASIBLE,
C18orf54,OPTIMAL,-0.370749200493353,INFEASIBLE,
C19orf12,OPTIMAL,-0.2234616787039356,INFEASIBLE,
C19orf25,OPTIMAL,-0.22768529609866583,INFEASIBLE,
C19orf53,INFEASIBLE,,INFEASIBLE,
C1D,INFEASIBLE,,INFEASIBLE,
C1GALT1,INFEASIBLE,,INFEASIBLE,
C1GALT1C1,OPTIMAL,-0.25621529062499415,INFEASIBLE,
C1orf122,INFEASIBLE,,INFEASIBLE,
C1orf131,INFEASIBLE,,INFEASIBLE,
C1orf159,OPTIMAL,-0.201548884101183,INFEASIBLE,
C1orf174,OPTIMAL,-0.40507111922432093,INFEASIBLE,
C1orf198,OPTIMAL,-0.4177132597566752,INFEASIBLE,
C1orf21,OPTIMAL,-0.26591674151220746,INFEASIBLE,
C1orf216,OPTIMAL,4.654073083685674e-09,INFEASIBLE,
C1orf35,INFEASIBLE,,INFEASIBLE,
C1orf43,INFEASIBLE,,INFEASIBLE,
C1orf50,OPTIMAL,9.862893958619416e-09,INFEASIBLE,
