,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
ADARB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADCK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADCK5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADCY3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADCY7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADCY9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRA3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRE5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRG2,OPTIMAL,-0.4347594426275796,OPTIMAL,-0.7137659594827062,INFEASIBLE,
ADGRL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADGRL4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADH5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADIPOR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADIPOR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADM5,OPTIMAL,-0.0573863808127868,OPTIMAL,-0.6286171151183033,INFEASIBLE,
ADNP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADNP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
