,outlier_rho,outlier_p1,outlier_p2,outlier_lb,outlier_ub,counts_rho,counts_p1,counts_p2,counts_lb,counts_ub,concentrations_rho,concentrations_p1,concentrations_p2,concentrations_lb,concentrations_ub,counts_c95_lb,counts_c95_ub,counts_c50_lb,counts_c50_ub,counts_c25_lb,counts_c25_ub
AASDH,0.06688796931097662,0.8668159824333066,0.2663680351333859,-0.05484901978850943,0.353418655574851,0.1253681382386247,0.9814807997968464,0.037038400406307154,-0.0661194528340078,0.40773255769278344,-0.008017908861445957,0.44715865750486083,0.8943173150097179,-0.07641954413890886,0.10558310135320396,-0.06454471531845615,0.43595937797227313,-0.03811208715312415,0.2110363481632126,-0.015319735217004117,0.14695554552195644
AASDHPPT,0.04029871032342967,0.748302715089324,0.5033945698213523,-0.04891346402360292,0.19946518944757025,0.09222002508758577,0.9371364380014584,0.12572712399708336,-0.061359108104467014,0.23068591612758374,0.05539150799964607,0.8208043871563561,0.35839122568728726,-0.07040587510273368,0.2327558584896311,-0.05503424208082401,0.24298655145034104,0.038984682414269334,0.14103276322467,0.06441999236392314,0.11330459279812241
AASS,0.03291045491426102,0.7076053762780946,0.5847892474438113,-0.05561529178533882,0.20098784337357187,0.07418830180148604,0.8908110288653228,0.21837794226935459,-0.06099953559617046,0.2450285902066479,-0.03406124502148103,0.2862095280832784,0.5724190561665579,-0.07358946872664704,0.019997922049829416,-0.05630413773171213,0.2865815244248606,-0.01738840753120894,0.13496055391451664,0.026769701456476135,0.08177064737370157
AATF,-0.04798117057424488,0.21276604180058206,0.4255320836011651,-0.1163424942224568,0.011854516177020113,-0.05521121195915715,0.17998011441983106,0.3599602288396613,-0.12732947404591827,0.02905095588183064,-0.06865061486974268,0.1274034819569776,0.2548069639139575,-0.16830919481888162,0.07942025916745495,-0.13056092836520017,0.04588882210241897,-0.08800509830301154,-0.02048786761133207,-0.06905185314503186,-0.04232236007692664
ABCA1,-0.027555873449982567,0.323668441119769,0.647336882239538,-0.05490653082983301,0.014526462955218825,-0.02448047099042363,0.3424982016821507,0.6849964033643021,-0.055977655318651565,0.0332647887895063,-0.003852176025758998,0.47455546182766917,0.9491109236553382,-0.06176279133533009,0.06773554717368388,-0.057781234337811765,0.037452303354370914,-0.03695900586182487,-0.007619760369378125,-0.0346122015093383,-0.022669609509020937
ABCA5,0.7822329322624428,1.0,1.1555555738342398e-58,-0.04883424546566851,0.9554766413622158,0.01572534878248352,0.602781982998595,0.7944360340028105,-0.058031845558062276,0.13900066015475768,0.004558903790688754,0.5301045048199533,0.9397909903600933,-0.07556538857158031,0.13322158261235348,-0.057956162134886365,0.1477878181847753,-0.031976744669023546,0.04696628850891858,-0.024330740298079884,0.016233593950825645
ABCA6,-0.027677886782725893,0.3229406910973704,0.64588138219474,-0.046195831376124354,-0.007452854725925496,-0.030826767694173078,0.30472418607125823,0.6094483721425051,-0.05683982010105304,0.0007122159666002456,-0.04831255910463611,0.2115910174153088,0.4231820348306183,-0.07193196119522696,-0.0253265912959873,-0.05410397899822663,-0.004417636016649133,-0.040189553622564114,-0.02428321211241651,-0.035428382722895314,-0.028146559601038575
ABCB10,0.2596671498067828,0.9999942130914272,1.1573817145623443e-05,-0.07037752363572711,0.5146762085726778,0.007501439849822794,0.549455591664751,0.9010888166704977,-0.09180023460070924,0.1624938637889925,-0.03146898337730235,0.3010061033007484,0.6020122066014981,-0.09289262239597816,0.062053909081087544,-0.08332507727828795,0.19892367056974827,-0.0424890023613897,0.05707406460278851,-0.027707012245239762,0.01779389333915497
ABCB7,-0.011693401215644921,0.4230503084804028,0.8461006169608059,-0.06621689085766583,0.10874532267700686,0.0049059778814705655,0.5323915541242822,0.935216891751436,-0.07195066889218729,0.16168738860012935,-0.023950588674828834,0.3457310672815614,0.6914621345631242,-0.08183933608542866,0.065476479720017,-0.07094527107112315,0.12771119536025358,-0.03573258079167271,0.053019641269299485,-0.019368715014601925,0.026828439950948593
ABCB8,0.6490604282072054,1.0,1.2229156540215995e-34,0.01660177540264021,0.8635583268546076,0.16044934225994076,0.9962712282311753,0.007457543537649486,-0.020356529920055877,0.3235570753421305,0.011068471452159306,0.5727534656402307,0.8544930687195373,-0.06737096035256854,0.09698285835982345,0.0007254730753089728,0.3259347192538226,0.09209029349872164,0.20884507525501966,0.1250259803930063,0.18909268879304958
ABCC1,0.7919771182043431,1.0,4.37188121816698e-61,0.029075788997644587,0.9454288472804395,0.1767905407442854,0.9984232522399061,0.00315349552018769,-0.05005189191752299,0.44091115570091405,0.07864813648067379,0.9040653359192666,0.19186932816146748,-0.05091978603698997,0.23383154361697236,-0.046514814497883444,0.4572637487633898,0.08787573196513283,0.2798941327541194,0.1373446183698552,0.2134007441023203
ABCC10,-0.03809295343451124,0.263528693134859,0.5270573862697119,-0.07195213154325178,-0.026118776271759184,-0.0449569342128386,0.2280675972714031,0.4561351945428081,-0.07635999745160289,-0.028178963821108932,-0.04693991223779675,0.21824557277298906,0.43649114554597646,-0.08136217467775367,0.013230089686225048,-0.07341861657396127,-0.02333740134648527,-0.058304344965481765,-0.0411129949762832,-0.05371963045737145,-0.04516121592212935
ABCC3,0.00997510203088688,0.5657534708327705,0.8684930583344596,-0.04401245993734253,0.06755170262651573,0.02519332503600003,0.661832915784319,0.6763341684313617,-0.04252024439268592,0.11576446660973101,-0.0015675865939748998,0.4896398847779102,0.9792797695558076,-0.05025470832168321,0.0551401635441904,-0.05184489460133368,0.11211593105213365,-0.029770120136674905,0.04732926152520435,0.0032307840798705455,0.03578783195479877
ABCC4,0.7601166548680537,1.0,1.3298766142424264e-53,-0.031084524641092775,0.9331652272592853,0.05569792499442533,0.8221327489868044,0.3557345020263919,-0.06972555544626902,0.19677140305806112,0.009854757147352448,0.5648502723983584,0.8702994552032836,-0.08402544633742105,0.15730235706928802,-0.07425447833301686,0.21530520847178147,0.007461622310000094,0.08629105748350772,0.02564449924545659,0.0650731932384046
ABCC5,0.01974519780534193,0.6284560146237421,0.7430879707525149,-0.045760456662863665,0.15913931482397822,0.05642027889039954,0.8252397360749508,0.3495205278500978,-0.05133739527728977,0.27121925740878433,0.17257895823482344,0.9980175746881813,0.003964850623637287,-0.06865053769251193,0.4644515505910657,-0.03154525167836709,0.2042937823707663,0.018476959304884164,0.101776876662321,0.030339839916504997,0.0801057847694548
ABCD1,-0.02227023225234723,0.3558060826668017,0.7116121653336058,-0.0458511885703754,-0.005581451301025544,-0.025422568563622717,0.3367787399799009,0.673557479959802,-0.0519848734885349,-9.16999547596896e-06,-0.03682885935425826,0.2708018448217073,0.541603689643414,-0.06163270053910861,-0.006385568248178039,-0.05899565706157589,-5.539521036172039e-05,-0.03517528148006574,-0.02207035181076174,-0.03274467260372372,-0.026185575346207274
ABCD3,0.013527795890038982,0.5888343151787746,0.8223313696424502,-0.07098491721463157,0.13434647551447426,0.05670994646606668,0.8264759695774908,0.3470480608450201,-0.07984102436708417,0.19607286655819164,-0.002868238532216724,0.4810489042646867,0.9620978085293741,-0.0973565110406599,0.1264459539890864,-0.07778631430199681,0.195419507397399,-0.012770217246838975,0.08884225827717841,0.03142949287955689,0.08191631790093865
ABCD4,0.07522643477816995,0.8944226022141044,0.21115479557179218,-0.07300699477779203,0.31945609268344904,0.13727792273192302,0.9888511429661431,0.02229771406771374,-0.08736870917767847,0.3908401301005735,-0.044055295521526636,0.2326140426348721,0.46522808526975046,-0.100571332352481,0.029871589162538823,-0.08813580572441185,0.4141155349900015,-0.0493826565921347,0.20506196228802967,0.017604133371731556,0.16738920239905658
ABCE1,0.7722088652070135,1.0,2.6757394305292406e-56,-0.09060929661064947,0.9422001822502398,0.06073022028440828,0.8430594085752711,0.3138811828494571,-0.1314004274932138,0.19532542795330285,-0.08992928423932892,0.06772121686084405,0.13544243372168863,-0.15962487164828126,-0.013767980857178078,-0.12409966380431077,0.208318895050766,-0.05104865148550358,0.10093711002530181,0.011726855642411965,0.07450761817537702
ABCF1,0.18213776702622475,0.9988508366834675,0.0022983266330649454,-0.014188883924212211,0.3240050766832916,0.06645015530028096,0.8648057829714116,0.2703884340571763,-0.042345883466713224,0.16500741003170866,-0.09985525027100467,0.0486027434924827,0.09720548698496519,-0.16875746242203957,-0.015180245976628723,-0.030212351728668128,0.16898811546333925,0.026709336713629368,0.0946578631693154,0.04955291776381732,0.08435292698763408
ABCF2,0.7337341575042771,1.0,3.071445460784379e-48,-0.050586991150828355,0.9408974392929832,0.011112737990952547,0.5730411823143906,0.8539176353712168,-0.0653425458937432,0.14188536466362323,-0.03334214842925413,0.2902795519221002,0.5805591038441991,-0.10437518544508087,0.054735408887003685,-0.06464439501883001,0.1440440666655196,-0.029725265565965178,0.04616123145456961,-0.007716966734378298,0.03233766754189195
ABCF3,0.7624942985091382,1.0,4.0399949525442664e-54,-0.07562825974146922,0.9462001143860861,0.016505757240527615,0.6077605320346473,0.7844789359307044,-0.0814950120061378,0.20001026245649997,-0.006872026338667025,0.45467539535691753,0.9093507907138363,-0.11802698366796868,0.14931142453822982,-0.07809244138433385,0.1964313591438161,-0.050551505781920615,0.075382504154106,-0.023936126616135263,0.024863164044169273
ABCG1,0.05044301553369996,0.798927660737596,0.4021446785248097,-0.0920553622221205,0.2714688434313956,0.17754061399003523,0.9984870467622905,0.003025906475419063,0.01948793534595007,0.2797962363734475,0.02313710169866773,0.6492839920049938,0.7014320159900109,-0.07142748740237734,0.1430599243180322,0.037309324612962574,0.29188822559221994,0.11937968180876224,0.22384016004500185,0.14908516771641378,0.19646594081427593
