,MIR222_d22_t30_ct100_status,MIR222_d22_t30_ct100_times,MIR222_d22_t30_ct100_cuts,MIR222_d33_t30_ct100_status,MIR222_d33_t30_ct100_times,MIR222_d33_t30_ct100_cuts,MIR222_d44_t30_ct100_status,MIR222_d44_t30_ct100_times,MIR222_d44_t30_ct100_cuts,MIR222_d23_t30_ct100_status,MIR222_d23_t30_ct100_times,MIR222_d23_t30_ct100_cuts,MIR222_d24_t30_ct100_status,MIR222_d24_t30_ct100_times,MIR222_d24_t30_ct100_cuts,MIR222_d22_t30_ct1000_status,MIR222_d22_t30_ct1000_times,MIR222_d22_t30_ct1000_cuts,MIR222_d33_t30_ct1000_status,MIR222_d33_t30_ct1000_times,MIR222_d33_t30_ct1000_cuts,MIR222_d44_t30_ct1000_status,MIR222_d44_t30_ct1000_times,MIR222_d44_t30_ct1000_cuts,MIR222_d23_t30_ct1000_status,MIR222_d23_t30_ct1000_times,MIR222_d23_t30_ct1000_cuts,MIR222_d24_t30_ct1000_status,MIR222_d24_t30_ct1000_times,MIR222_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct100_status,MIR199A1_d22_t30_ct100_times,MIR199A1_d22_t30_ct100_cuts,MIR199A1_d33_t30_ct100_status,MIR199A1_d33_t30_ct100_times,MIR199A1_d33_t30_ct100_cuts,MIR199A1_d44_t30_ct100_status,MIR199A1_d44_t30_ct100_times,MIR199A1_d44_t30_ct100_cuts,MIR199A1_d23_t30_ct100_status,MIR199A1_d23_t30_ct100_times,MIR199A1_d23_t30_ct100_cuts,MIR199A1_d24_t30_ct100_status,MIR199A1_d24_t30_ct100_times,MIR199A1_d24_t30_ct100_cuts,MIR199A1_d44_t30_ct1000_status,MIR199A1_d44_t30_ct1000_times,MIR199A1_d44_t30_ct1000_cuts,MIR199A1_d33_t30_ct1000_status,MIR199A1_d33_t30_ct1000_times,MIR199A1_d33_t30_ct1000_cuts,MIR199A1_d22_t30_ct1000_status,MIR199A1_d22_t30_ct1000_times,MIR199A1_d22_t30_ct1000_cuts,MIR199A1_d23_t30_ct1000_status,MIR199A1_d23_t30_ct1000_times,MIR199A1_d23_t30_ct1000_cuts,MIR199A1_d24_t30_ct1000_status,MIR199A1_d24_t30_ct1000_times,MIR199A1_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct10000_status,MIR199A1_d22_t30_ct10000_times,MIR199A1_d22_t30_ct10000_cuts,MIR199A1_d33_t30_ct10000_status,MIR199A1_d33_t30_ct10000_times,MIR199A1_d33_t30_ct10000_cuts,MIR199A1_d44_t30_ct10000_status,MIR199A1_d44_t30_ct10000_times,MIR199A1_d44_t30_ct10000_cuts,MIR199A1_d23_t30_ct10000_status,MIR199A1_d23_t30_ct10000_times,MIR199A1_d23_t30_ct10000_cuts,MIR199A1_d24_t30_ct10000_status,MIR199A1_d24_t30_ct10000_times,MIR199A1_d24_t30_ct10000_cuts
ADA,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004999876022338867,4,OPTIMAL,0.02200007438659668,5,OPTIMAL,0.003000020980834961,15,OPTIMAL,0.014000654220581055,55,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0029997825622558594,4,OPTIMAL,0.023000001907348633,5,OPTIMAL,0.005000114440917969,15,OPTIMAL,0.014999628067016602,55,OPTIMAL,0.0,0,OPTIMAL,0.006999969482421875,4,OPTIMAL,0.023000001907348633,4,OPTIMAL,0.0019998550415039062,14,OPTIMAL,0.02299952507019043,70,OPTIMAL,0.01900005340576172,4,OPTIMAL,0.004999637603759766,4,OPTIMAL,0.0,0,OPTIMAL,0.004000186920166016,14,OPTIMAL,0.029000520706176758,70,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0070002079010009766,4,OPTIMAL,0.023000240325927734,4,OPTIMAL,0.005000114440917969,14,OPTIMAL,0.023000240325927734,70
ADAM10,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.002000093460083008,2,OPTIMAL,0.012000083923339844,0,OPTIMAL,0.031999826431274414,16,OPTIMAL,0.0429987907409668,98,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.004000186920166016,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.03399991989135742,16,OPTIMAL,0.015999555587768555,98,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.00800013542175293,2,OPTIMAL,0.032000064849853516,15,CUT_LIMIT,0.03399991989135742,100,OPTIMAL,0.00800013542175293,2,OPTIMAL,0.003999948501586914,2,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.031999826431274414,15,CUT_LIMIT,0.5079975128173828,1000,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0,2,OPTIMAL,0.009000062942504883,2,OPTIMAL,0.0280001163482666,15,TOTAL_TIME_LIMIT,30.00499415397644,9230
ADAM12,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.009999752044677734,2,OPTIMAL,0.018000125885009766,16,OPTIMAL,0.04400014877319336,88,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,2,OPTIMAL,0.009999990463256836,2,OPTIMAL,0.012000083923339844,16,OPTIMAL,0.018999576568603516,88,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.014999866485595703,17,CUT_LIMIT,0.026000022888183594,100,OPTIMAL,0.004000186920166016,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.0,0,OPTIMAL,0.013000249862670898,17,CUT_LIMIT,0.451000452041626,1000,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.017000436782836914,17,TOTAL_TIME_LIMIT,30.003021001815796,9988
ADAM15,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,INFEASIBLE,0.0,0,OPTIMAL,0.014999866485595703,16,CUT_LIMIT,0.038999080657958984,100,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0,0,OPTIMAL,0.00800013542175293,16,CUT_LIMIT,0.44100117683410645,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.0029997825622558594,0,OPTIMAL,0.012999773025512695,16,OPTIMAL,0.025999784469604492,67,OPTIMAL,0.004999876022338867,0,OPTIMAL,0.004000186920166016,2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.012000322341918945,16,OPTIMAL,0.021000146865844727,67,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.016000032424926758,16,OPTIMAL,0.025000572204589844,67
ADAM17,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0039997100830078125,2,OPTIMAL,0.10899996757507324,9,OPTIMAL,0.03300023078918457,15,OPTIMAL,0.037999868392944336,87,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.10800027847290039,9,OPTIMAL,0.037000417709350586,15,OPTIMAL,0.032999515533447266,87,OPTIMAL,0.0010001659393310547,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.008999824523925781,17,OPTIMAL,0.01900005340576172,46,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.009000301361083984,17,OPTIMAL,0.017999887466430664,46,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.015000104904174805,17,OPTIMAL,0.021998882293701172,46
ADAM22,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,3,OPTIMAL,0.004999876022338867,1,OPTIMAL,0.002000093460083008,14,CUT_LIMIT,0.031999826431274414,100,OPTIMAL,0.0,0,OPTIMAL,0.004000186920166016,3,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.003999948501586914,14,CUT_LIMIT,0.4610006809234619,1000,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,3,OPTIMAL,0.014000415802001953,4,OPTIMAL,0.005000114440917969,15,OPTIMAL,0.02500009536743164,50,OPTIMAL,0.01900005340576172,4,OPTIMAL,0.003000020980834961,3,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004999637603759766,15,OPTIMAL,0.012999773025512695,50,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,3,OPTIMAL,0.013000011444091797,4,OPTIMAL,0.006000041961669922,15,OPTIMAL,0.019999980926513672,50
ADAM33,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.011000394821166992,16,OPTIMAL,0.02700018882751465,66,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.009999513626098633,16,OPTIMAL,0.0279998779296875,66,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,3,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.005000114440917969,15,CUT_LIMIT,0.01399993896484375,100,OPTIMAL,0.005000114440917969,1,OPTIMAL,0.0010001659393310547,3,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0039997100830078125,15,CUT_LIMIT,0.4010031223297119,1000,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,3,OPTIMAL,0.004999876022338867,1,OPTIMAL,0.007999658584594727,15,CUT_LIMIT,28.171998500823975,10000
ADAM9,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.009999752044677734,1,OPTIMAL,0.017000436782836914,16,CUT_LIMIT,0.032000064849853516,100,OPTIMAL,0.01399993896484375,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.014999866485595703,16,OPTIMAL,0.04399991035461426,111,OPTIMAL,0.0,0,OPTIMAL,0.0010001659393310547,1,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.003999948501586914,15,CUT_LIMIT,0.031000137329101562,100,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.0,1,OPTIMAL,0.0,0,OPTIMAL,0.004999876022338867,15,CUT_LIMIT,0.5100016593933105,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.0069997310638427734,15,CUT_LIMIT,28.727996826171875,10000
ADAMTS1,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.00800013542175293,1,OPTIMAL,0.01699972152709961,17,CUT_LIMIT,0.04300093650817871,100,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.012000322341918945,17,CUT_LIMIT,0.47800207138061523,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,2,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.012999534606933594,18,OPTIMAL,0.025999784469604492,59,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.003000020980834961,2,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.014000177383422852,18,OPTIMAL,0.028000831604003906,59,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.004999637603759766,2,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.007999658584594727,18,OPTIMAL,0.02299952507019043,59
ADAMTS12,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.007999897003173828,1,OPTIMAL,0.01699995994567871,16,OPTIMAL,0.0260009765625,59,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.005000114440917969,1,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.018000125885009766,16,OPTIMAL,0.015999555587768555,59,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.014000177383422852,17,CUT_LIMIT,0.04499983787536621,100,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.017000198364257812,17,CUT_LIMIT,0.5460019111633301,1000,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.017999887466430664,17,TOTAL_TIME_LIMIT,30.00399875640869,9062
ADAMTS2,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.009000062942504883,2,OPTIMAL,0.026999711990356445,15,OPTIMAL,0.04099893569946289,84,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.004000186920166016,1,OPTIMAL,0.009999990463256836,2,OPTIMAL,0.031000137329101562,15,OPTIMAL,0.026999235153198242,84,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.015000104904174805,17,OPTIMAL,0.023000478744506836,52,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.014000415802001953,17,OPTIMAL,0.018000125885009766,52,OPTIMAL,0.0,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.016000032424926758,17,OPTIMAL,0.02700066566467285,52
ADAMTS4,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.006000041961669922,14,OPTIMAL,0.014999866485595703,66,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0009999275207519531,1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.01399993896484375,14,OPTIMAL,0.017999887466430664,66,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0010001659393310547,0,INFEASIBLE,0.0,0,OPTIMAL,0.018000125885009766,17,OPTIMAL,0.018000364303588867,32,INFEASIBLE,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.01399993896484375,17,OPTIMAL,0.020000457763671875,32,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.01399993896484375,17,OPTIMAL,0.014999866485595703,32
ADAMTS6,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.009999752044677734,1,CUT_LIMIT,0.01399993896484375,100,OPTIMAL,0.029000043869018555,63,OPTIMAL,0.0,0,OPTIMAL,0.002000093460083008,1,OPTIMAL,0.005000114440917969,1,CUT_LIMIT,0.0410008430480957,1000,OPTIMAL,0.02099919319152832,63,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0,0,OPTIMAL,0.006999969482421875,17,OPTIMAL,0.015999794006347656,46,INFEASIBLE,0.0,0,OPTIMAL,0.0010001659393310547,1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.009999990463256836,17,OPTIMAL,0.017999887466430664,46,OPTIMAL,0.0,0,OPTIMAL,0.0019998550415039062,1,INFEASIBLE,0.0,0,OPTIMAL,0.018000125885009766,17,OPTIMAL,0.018000125885009766,46
ADAMTSL1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004999876022338867,3,OPTIMAL,0.013000249862670898,2,OPTIMAL,0.015999794006347656,15,OPTIMAL,0.03800010681152344,69,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.004000186920166016,3,OPTIMAL,0.009000062942504883,2,OPTIMAL,0.01900029182434082,15,OPTIMAL,0.02200031280517578,69,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,4,OPTIMAL,0.01699995994567871,3,OPTIMAL,0.003000020980834961,15,OPTIMAL,0.014999866485595703,77,OPTIMAL,0.013999700546264648,3,OPTIMAL,0.003999948501586914,4,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.00500035285949707,15,OPTIMAL,0.023000240325927734,77,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,4,OPTIMAL,0.014000177383422852,3,OPTIMAL,0.005000114440917969,15,OPTIMAL,0.01699972152709961,77
